Time [yrs],Depth [m],empty [m]
0,3715,
1821.7208,3706.8958,
1890.5076,3706.6414,
1972.5917,3678.5908,
2032.4403,3572.931,
2101.0664,3300.7568,
2162.9832,2939.8171,
2213.8215,2606.6655,
2251.353,2284.6619,
2297.7732,1984.8229,
2353.0266,1612.8092,
2403.8452,1246.3613,
2452.514,996.45856,
2501.2024,779.8521,
2569.8318,513.2274,
2616.3079,307.72794,
2656.1863,202.14192,
3787.834,186.8565,
