M.D_b.DIC Time [a],M.D_b.DIC DIC [mol/kg]
0.0,0.0022950615409516
0.08333333333333333,0.0022950615409532966
0.16666666666666666,0.002295061540960981
0.25,0.0022950615409775615
0.3333333333333333,0.0022950615410053258
0.41666666666666663,0.002295061541048828
0.5,0.0022950615411065347
0.5833333333333333,0.002295061541182735
0.6666666666666666,0.0022950615412811667
0.75,0.002295061541404968
0.8333333333333333,0.002295061541556976
0.9166666666666666,0.002295061541739875
1.0,0.0022950615419562357
1.0833333333333333,0.0022950615422085248
1.1666666666666665,0.0022950615424991
1.25,0.0022950615428302137
1.3333333333333333,0.0022950615432040093
1.4166666666666665,0.0022950615436225247
1.5,0.0022950615440876943
1.5833333333333333,0.0022950615446013485
1.6666666666666665,0.0022950615451651775
1.75,0.0022950615457808916
1.8333333333333333,0.002295061546449862
1.9166666666666665,0.0022950615471735965
2.0,0.002295061547953526
2.083333333333333,0.0022950615487909547
2.1666666666666665,0.00229506154968707
2.25,0.0022950615506429723
2.333333333333333,0.0022950615516596925
2.4166666666666665,0.002295061552738189
2.5,0.002295061553879355
2.583333333333333,0.0022950615550840136
2.6666666666666665,0.002295061556352928
2.75,0.0022950615576867997
2.833333333333333,0.002295061559086275
2.9166666666666665,0.002295061560551946
3.0,0.0022950615620843553
3.083333333333333,0.002295061563683998
3.1666666666666665,0.0022950615653513236
3.25,0.002295061567086741
3.333333333333333,0.0022950615688906184
3.4166666666666665,0.002295061570763287
3.5,0.002295061572705046
3.583333333333333,0.0022950615747161594
3.6666666666666665,0.002295061576796863
3.75,0.0022950615789473646
3.833333333333333,0.0022950615811678453
3.9166666666666665,0.0022950615834584627
4.0,0.002295061585819352
4.083333333333333,0.002295061588250629
4.166666666666666,0.0022950615907523894
4.25,0.002295061593324712
4.333333333333333,0.0022950615959676612
4.416666666666666,0.0022950615986812818
4.5,0.0022950616014656127
4.583333333333333,0.0022950616043253052
4.666666666666666,0.0022950616072540207
4.75,0.00229506161026982
4.833333333333333,0.0022950616133588946
4.916666666666666,0.002295061616519071
5.0,0.0022950616197499854
5.083333333333333,0.0022950616230515515
5.166666666666666,0.002295061626423722
5.25,0.002295061629866454
5.333333333333333,0.0022950616333797
5.416666666666666,0.00229506163696341
5.5,0.002295061640617531
5.583333333333333,0.0022950616443420074
5.666666666666666,0.0022950616481367814
5.75,0.002295061652001794
5.833333333333333,0.0022950616559369837
5.916666666666666,0.0022950616599422893
6.0,0.0022950616640176483
6.083333333333333,0.002295061668162996
6.166666666666666,0.0022950616723782695
6.25,0.0022950616766634043
6.333333333333333,0.002295061681018336
6.416666666666666,0.0022950616854430007
6.5,0.002295061689937335
6.583333333333333,0.002295061694501274
6.666666666666666,0.002295061699134756
6.75,0.0022950617038377174
6.833333333333333,0.0022950617086100974
6.916666666666666,0.0022950617134518334
7.0,0.0022950617183628654
7.083333333333333,0.002295061723343134
7.166666666666666,0.0022950617283925795
7.25,0.0022950617335111443
7.333333333333333,0.0022950617386987707
7.416666666666666,0.002295061743955402
7.5,0.0022950617492809838
7.583333333333333,0.0022950617546754603
7.666666666666666,0.0022950617601387785
7.75,0.002295061765670885
7.833333333333333,0.002295061771271727
7.916666666666666,0.002295061776941255
8.0,0.0022950617826794175
8.083333333333332,0.0022950617884861654
8.166666666666666,0.0022950617943614496
8.25,0.0022950618003052224
8.333333333333332,0.002295061806317436
8.416666666666666,0.0022950618123980453
8.5,0.0022950618185470033
8.583333333333332,0.0022950618247642657
8.666666666666666,0.0022950618310497873
8.75,0.0022950618374035247
8.833333333333332,0.0022950618438254355
8.916666666666666,0.0022950618503154757
9.0,0.0022950618568736043
9.083333333333332,0.00229506186349978
9.166666666666666,0.0022950618701939613
9.25,0.002295061876956108
9.333333333333332,0.0022950618837861802
9.416666666666666,0.002295061890684138
9.5,0.0022950618976499432
9.583333333333332,0.0022950619046835556
9.666666666666666,0.002295061911784938
9.75,0.0022950619189540523
9.833333333333332,0.00229506192619086
9.916666666666666,0.0022950619334953246
10.0,0.002295061940867409
10.083333333333332,0.002295061948307076
10.166666666666666,0.002295061955814289
10.25,0.0022950619633890124
10.333333333333332,0.00229506197103121
10.416666666666666,0.002295061978740846
10.5,0.0022950619865178845
10.583333333333332,0.00229506199436229
10.666666666666666,0.002295062002274028
10.75,0.0022950620102530628
10.833333333333332,0.0022950620182993595
10.916666666666666,0.0022950620264128837
11.0,0.0022950620345936006
11.083333333333332,0.002295062042841475
11.166666666666666,0.002295062051156474
11.25,0.002295062059538562
11.333333333333332,0.002295062067987706
11.416666666666666,0.0022950620765038706
11.5,0.0022950620850870226
11.583333333333332,0.0022950620937371275
11.666666666666666,0.0022950621024541524
11.75,0.0022950621112380622
11.833333333333332,0.0022950621200888244
11.916666666666666,0.0022950621290064046
12.0,0.002295062137990769
12.083333333333332,0.002295062147041885
12.166666666666666,0.002295062156159718
12.25,0.002295062165344235
12.333333333333332,0.0022950621745954024
12.416666666666666,0.0022950621839131873
12.5,0.002295062193297555
12.583333333333332,0.002295062202748474
12.666666666666666,0.0022950622122659093
12.75,0.0022950622218498285
12.833333333333332,0.002295062231500198
12.916666666666666,0.0022950622412169844
13.0,0.002295062251000155
13.083333333333332,0.0022950622608496766
13.166666666666666,0.0022950622707655155
13.25,0.0022950622807476387
13.333333333333332,0.002295062290796013
13.416666666666666,0.0022950623009106055
13.5,0.0022950623110913827
13.583333333333332,0.002295062321338312
13.666666666666666,0.002295062331651359
13.75,0.002295062342030492
13.833333333333332,0.002295062352475678
13.916666666666666,0.0022950623629868824
14.0,0.0022950623735640734
