M.L_b.HCO3 Time [a],M.L_b.HCO3 HCO3 [mol/kg]
0.0,0.001695380465294667
0.08333333333333333,0.0016953805033587612
0.16666666666666666,0.0016953806039967855
0.25,0.0016953807623912407
0.3333333333333333,0.0016953809767252922
0.41666666666666663,0.0016953812549627715
0.5,0.0016953815827879506
0.5833333333333333,0.0016953819671205988
0.6666666666666666,0.0016953824114647705
0.75,0.0016953829164069053
0.8333333333333333,0.0016953834811978053
0.9166666666666666,0.0016953841045222766
1.0,0.0016953847847546832
1.0833333333333333,0.0016953855200367602
1.1666666666666665,0.0016953863083156344
1.25,0.0016953871473775301
1.3333333333333333,0.0016953880348812389
1.4166666666666665,0.0016953889683899944
1.5,0.0016953899454007478
1.5833333333333333,0.0016953909633705766
1.6666666666666665,0.001695392019804731
1.75,0.0016953931120327471
1.8333333333333333,0.0016953942378047562
1.9166666666666665,0.0016953953945408212
2.0,0.0016953965796779671
2.083333333333333,0.0016953977907848323
2.1666666666666665,0.0016953990255567648
2.25,0.0016954002817860857
2.333333333333333,0.0016954015573514072
2.4166666666666665,0.001695402850222603
2.5,0.0016954041584684879
2.583333333333333,0.0016954054802613844
2.6666666666666665,0.0016954068138787478
2.75,0.0016954081577033816
2.833333333333333,0.0016954095102230087
2.9166666666666665,0.0016954108700293251
3.0,0.0016954122358164509
3.083333333333333,0.0016954136063787922
3.1666666666666665,0.0016954149806083921
3.25,0.0016954163574918637
3.333333333333333,0.0016954177361069884
3.4166666666666665,0.0016954191156190405
3.5,0.0016954204952768937
3.583333333333333,0.001695421874408967
3.6666666666666665,0.001695423252419056
3.75,0.0016954246287820896
3.833333333333333,0.001695426003039858
3.9166666666666665,0.0016954273747967431
4.0,0.0016954287437154817
4.083333333333333,0.0016954301095129913
4.166666666666666,0.0016954314719562766
4.25,0.0016954328308584447
4.333333333333333,0.0016954341860720172
4.416666666666666,0.001695435537497133
4.5,0.0016954368850566864
4.583333333333333,0.001695438228462006
4.666666666666666,0.0016954395680575094
4.75,0.001695440902875981
4.833333333333333,0.0016954422337318868
4.916666666666666,0.0016954435608130792
5.0,0.0016954448842211583
5.083333333333333,0.001695446204054006
5.166666666666666,0.0016954475204170134
5.25,0.0016954488334233104
5.333333333333333,0.0016954501431924048
5.416666666666666,0.0016954514498486988
5.5,0.0016954527535201036
5.583333333333333,0.0016954540543367776
5.666666666666666,0.0016954553524299938
5.75,0.0016954566479311258
5.833333333333333,0.0016954579409707484
5.916666666666666,0.0016954592316778463
6.0,0.0016954605201791179
6.083333333333333,0.0016954618065983817
6.166666666666666,0.001695463091056061
6.25,0.0016954643736687548
6.333333333333333,0.001695465654548882
6.416666666666666,0.0016954669338043935
6.5,0.0016954682115385476
6.583333333333333,0.0016954694878497424
6.666666666666666,0.0016954707628313997
6.75,0.0016954720365718989
6.833333333333333,0.0016954733091545447
6.916666666666666,0.0016954745806575843
7.0,0.0016954758511542461
7.083333333333333,0.0016954771207128147
7.166666666666666,0.0016954783893967278
7.25,0.001695479657264696
7.333333333333333,0.0016954809243708432
7.416666666666666,0.0016954821907648558
7.5,0.0016954834564921542
7.583333333333333,0.0016954847215940652
7.666666666666666,0.0016954859861080082
7.75,0.0016954872500676837
7.833333333333333,0.0016954885135032679
7.916666666666666,0.0016954897764416082
8.0,0.001695491038906418
8.083333333333332,0.0016954923009184727
8.166666666666666,0.0016954935624958018
8.25,0.0016954948236538791
8.333333333333332,0.0016954960844058075
8.416666666666666,0.0016954973447625003
8.5,0.0016954986047328542
8.583333333333332,0.0016954998643239202
8.666666666666666,0.0016955011235410661
8.75,0.0016955023823881292
8.833333333333332,0.0016955036408675653
8.916666666666666,0.0016955048989805907
9.0,0.0016955061567273146
9.083333333333332,0.001695507414106863
9.166666666666666,0.0016955086711174991
9.25,0.0016955099277567319
9.333333333333332,0.0016955111840214214
9.416666666666666,0.0016955124399078718
9.5,0.001695513695411923
9.583333333333332,0.0016955149505290294
9.666666666666666,0.0016955162052543383
9.75,0.0016955174595827574
9.833333333333332,0.0016955187135090158
9.916666666666666,0.0016955199670277245
10.0,0.0016955212201334238
10.083333333333332,0.001695522472820631
10.166666666666666,0.001695523725083882
10.25,0.0016955249769177662
10.333333333333332,0.0016955262283169577
10.416666666666666,0.001695527479276245
10.5,0.0016955287297905533
10.583333333333332,0.0016955299798549633
10.666666666666666,0.0016955312294647314
10.75,0.0016955324786153004
10.833333333333332,0.0016955337273023112
10.916666666666666,0.0016955349755216123
11.0,0.0016955362232692645
11.083333333333332,0.0016955374705415458
11.166666666666666,0.001695538717334952
11.25,0.0016955399636462002
11.333333333333332,0.0016955412094722235
11.416666666666666,0.0016955424548101708
11.5,0.0016955436996574042
11.583333333333332,0.0016955449440114918
11.666666666666666,0.0016955461878702047
11.75,0.0016955474312315081
11.833333333333332,0.0016955486740935569
11.916666666666666,0.001695549916454688
12.0,0.0016955511583134103
12.083333333333332,0.0016955523996684
12.166666666666666,0.0016955536405184905
12.25,0.0016955548808626638
12.333333333333332,0.0016955561207000441
12.416666666666666,0.0016955573600298866
12.5,0.0016955585988515712
12.583333333333332,0.001695559837164594
12.666666666666666,0.0016955610749685606
12.75,0.0016955623122631729
12.833333333333332,0.0016955635490482294
12.916666666666666,0.0016955647853236105
13.0,0.0016955660210892765
13.083333333333332,0.0016955672563452597
13.166666666666666,0.0016955684910916536
13.25,0.0016955697253286132
13.333333333333332,0.0016955709590563452
13.416666666666666,0.0016955721922751025
13.5,0.0016955734249851806
13.583333333333332,0.0016955746571869113
13.666666666666666,0.001695575888880658
