M.H_b.HCO3 Time [a],M.H_b.HCO3 HCO3 [mol/kg]
0.0,0.0019991942888466676
10.0,0.0020028623964951074
20.0,0.0020025422303311642
30.0,0.002001869373224653
40.0,0.002001168040800595
50.0,0.002000531290116446
60.0,0.0019999770536973252
70.0,0.0019995010901600586
80.0,0.001999092040881437
90.0,0.0019987376554316595
100.0,0.0019984271292993573
110.0,0.0019981523205967193
120.0,0.0019979070037018276
130.0,0.0019976864814050346
140.0,0.0019974868479798458
150.0,0.001997304937231437
160.0,0.00199713823365187
170.0,0.0019969848507397922
180.0,0.0019968432060070026
190.0,0.0019967120004728187
200.0,0.0019965901700826614
210.0,0.001996476831995959
220.0,0.001996371241849345
230.0,0.0019962727490199852
240.0,0.0019961807819751853
250.0,0.0019960948404097955
260.0,0.001996014464345984
270.0,0.0019959392364078503
280.0,0.001995868806120014
290.0,0.0019958028885379378
300.0,0.001995741216729102
310.0,0.0019956835148591985
320.0,0.001995629512707676
330.0,0.0019955789665039333
340.0,0.0019955316605989103
350.0,0.001995487397385903
360.0,0.001995445993301966
370.0,0.001995407273162665
380.0,0.001995371075092762
390.0,0.0019953372396766676
400.0,0.0019953055964092165
410.0,0.0019952759919909125
420.0,0.001995248311224318
430.0,0.00199522246218319
440.0,0.001995198350871138
450.0,0.001995175876401427
460.0,0.0019951549395013017
470.0,0.001995135447965372
480.0,0.0019951173162585604
490.0,0.001995100464225596
500.0,0.00199508481646873
510.0,0.0019950703019055004
520.0,0.001995056853230877
530.0,0.0019950444072546923
540.0,0.001995032903940194
550.0,0.001995022278916507
560.0,0.0019950124515084873
570.0,0.001995003350616834
580.0,0.0019949949410120677
590.0,0.001994987207247095
600.0,0.001994980123575493
610.0,0.0019949736396342936
620.0,0.001994967695315039
630.0,0.0019949622444418386
640.0,0.0019949572684031754
650.0,0.001994952752307834
660.0,0.0019949486776700627
670.0,0.0019949450238772094
680.0,0.0019949417668497413
690.0,0.001994938886697407
700.0,0.0019949363609070418
710.0,0.0019949341564225826
720.0,0.0019949322160307146
730.0,0.001994930486912358
740.0,0.0019949289580782023
750.0,0.0019949276370799514
760.0,0.001994926534679159
770.0,0.001994925651714738
