M.D_b.Fburial Time [a],M.D_b.Fburial Fburial [mol/kg]
21300.0,11983635311517.14
21400.0,11983891709164.094
21500.0,11984144091855.61
21600.0,11984392512382.812
21700.0,11984637040607.094
21800.0,11984877744204.89
21900.0,11985114676742.477
22000.0,11985347896981.578
22100.0,11985577463473.555
22200.0,11985803432336.719
22300.0,11986025862452.86
22400.0,11986244802607.89
22500.0,11986460310579.672
22600.0,11987188151016.492
22700.0,11987386941538.125
22800.0,11987583468760.234
22900.0,11987777245615.86
23000.0,11987968270907.156
23100.0,11988156501775.172
23200.0,11988341868472.305
23300.0,11988524365960.75
23400.0,11988704017479.836
23500.0,11988880861217.367
23600.0,11989054938978.016
23700.0,11989226293071.39
23800.0,11989394962924.36
23900.0,11989560994233.305
24000.0,11989724422446.781
24100.0,11989885291336.297
24200.0,11990043641755.29
24300.0,11990199513825.102
24400.0,11990352946153.766
24500.0,11990503976737.062
24600.0,11990652643117.29
24700.0,11990798982311.266
24800.0,11990943030758.172
24900.0,11990132573688.344
25000.0,11990288603885.836
25100.0,11990441569819.11
25200.0,11990591767075.805
25300.0,11990739366060.484
25400.0,11990884548174.32
25500.0,11991027429532.836
25600.0,11991168076517.195
25700.0,11991306504704.89
25800.0,11991442746254.719
25900.0,11991576852428.266
26000.0,11991708857823.594
26100.0,11991838793135.484
26200.0,11991966691486.273
26300.0,11992092585170.555
26400.0,11992216503852.281
26500.0,11992338481596.195
26600.0,11992458544808.938
26700.0,11992576725836.023
26800.0,11992693054780.734
26900.0,11992807561178.64
27000.0,11992920273452.57
27100.0,11993031219584.078
27200.0,11993140427218.64
27300.0,11993247923608.875
27400.0,11993353735579.383
27500.0,11993975803656.352
27600.0,11994068786772.719
27700.0,11994160696652.0
27800.0,11994251390977.281
27900.0,11994341059180.375
28000.0,11994429388911.812
28100.0,11994516414959.0
28200.0,11994602228707.297
28300.0,11994686735416.07
28400.0,11994769928867.234
28500.0,11994851824168.734
28600.0,11994932439282.047
28700.0,11995011793172.75
28800.0,11995089905065.562
28900.0,11995166794143.773
29000.0,11995242479416.469
29100.0,11995316979076.938
29200.0,11995390311421.438
29300.0,11995462494188.484
29400.0,11995533546312.61
29500.0,11995603485907.703
29600.0,11995672330531.797
29700.0,11995740097235.844
29800.0,11995806802837.945
29900.0,11995872463945.031
30000.0,11995937096920.297
30100.0,11996000717867.297
30200.0,11996063342632.031
30300.0,11996124986809.516
30400.0,11996185665751.344
30500.0,11996245394569.828
30600.0,11996304188140.875
30700.0,11996362061112.422
30800.0,11996419027897.062
30900.0,11996475102689.938
31000.0,11996530299448.016
31100.0,11996584631914.781
31200.0,11996638113616.062
31300.0,11996690757874.0
31400.0,11996742577797.188
31500.0,11996793586298.742
31600.0,11996843796089.75
31700.0,11996893219675.984
31800.0,11996941869372.516
31900.0,11996989757288.242
32000.0,11997036895347.672
32100.0,11997083295285.977
32200.0,11997128968661.812
32300.0,11997173926848.39
32400.0,11997218181049.14
32500.0,11997261742292.562
32600.0,11997304621429.031
32700.0,11997346829143.094
32800.0,11997388375940.422
32900.0,11997429272167.047
33000.0,11997469528004.906
33100.0,11997509153481.89
33200.0,11997548158465.672
33300.0,11997586552676.61
33400.0,11997624345679.89
33500.0,11997661546889.422
33600.0,11997698165571.219
33700.0,11997734210846.14
33800.0,11997769691692.0
33900.0,11997804616947.188
34000.0,11997838995311.266
34100.0,11997872835346.89
34200.0,11997906145483.46
34300.0,11997938934018.188
34400.0,11997971209118.492
34500.0,11998002978823.305
34600.0,11998034251046.547
34700.0,11998065033577.86
34800.0,11998095334084.672
34900.0,11998125160114.828
35000.0,11998154519100.258
35100.0,11998183418353.922
35200.0,11998211865077.64
35300.0,11998239866352.828
35400.0,11998267429153.227
35500.0,11998294560340.969
35600.0,11998321266675.094
35700.0,11998347554806.758
35800.0,11998373431287.422
35900.0,11998398902564.43
36000.0,11998423974982.898
36100.0,11998448654787.89
36200.0,11998472948127.023
36300.0,11998496861051.922
36400.0,11998520399519.188
36500.0,11998543569392.344
36600.0,11998566376443.266
36700.0,11998588826355.11
36800.0,11998610924719.453
36900.0,11998632677044.438
37000.0,11998654088744.984
37100.0,11998675165153.266
37200.0,11998695911517.273
37300.0,11998716333005.5
37400.0,11998736434704.086
37500.0,11998756221623.031
37600.0,11998775698692.031
37700.0,11998794870763.375
37800.0,11998813742613.008
37900.0,11998832318941.688
38000.0,11998850604376.898
38100.0,11998868603473.766
38200.0,11998886320716.125
38300.0,11998903760517.375
38400.0,11998920927222.047
38500.0,11998937825106.36
38600.0,11998954458380.164
38700.0,11998970831186.555
38800.0,11998986947604.125
38900.0,11999002811648.047
39000.0,11999018427270.219
39100.0,11999033798360.312
39200.0,11999048928747.531
39300.0,11999063822201.336
39400.0,11999078482431.547
39500.0,11999092913090.578
39600.0,11999107117772.969
39700.0,11999121100017.375
39800.0,11999134863307.484
39900.0,11999148411070.984
40000.0,11999161746683.617
40100.0,11999174873467.29
40200.0,11999187794691.875
40300.0,11999200513576.36
40400.0,11999213033289.078
40500.0,11999225356949.375
40600.0,11999237487626.922
40700.0,11999249428343.64
40800.0,11999261182075.25
40900.0,11999272751749.734
41000.0,11999284140250.57
41100.0,11999295350413.14
41200.0,11999306385029.016
41300.0,11999317246846.375
41400.0,11999327938571.414
41500.0,11999338462866.633
41600.0,11999348822355.406
41700.0,11999359019618.953
41800.0,11999369057197.586
41900.0,11999378937592.031
42000.0,11999388663263.422
42100.0,11999398236634.719
42200.0,11999407660090.844
42300.0,11999416935979.297
42400.0,11999426066610.828
42500.0,11999435054260.156
42600.0,11999443901166.297
42700.0,11999452609533.39
42800.0,11999461181530.703
42900.0,11999469619293.508
43000.0,11999477924923.805
43100.0,11999486100491.344
43200.0,11999494148032.469
43300.0,11999502069551.469
43400.0,11999509867022.414
43500.0,11999517542388.047
43600.0,11999525097559.656
43700.0,11999532534419.922
43800.0,11999539854821.656
43900.0,11999547060588.148
44000.0,11998596762189.516
44100.0,11998620174567.227
44200.0,11998642602856.734
44300.0,11998664312112.32
44400.0,11998685547043.883
44500.0,11998706322724.578
44600.0,11998726705477.883
44700.0,11998746718975.688
44800.0,11998766379071.094
44900.0,11998785693660.938
45000.0,11998804690188.219
45100.0,11998823396280.297
45200.0,11998841833021.758
45300.0,11998859987714.656
45400.0,11998877858731.398
45500.0,11998895416137.86
45600.0,11998912685118.328
45700.0,11998929686472.094
45800.0,11998946427304.797
45900.0,11998962927762.54
46000.0,11998979180144.688
46100.0,11998995181419.11
46200.0,11999010932346.39
46300.0,11999026436243.727
46400.0,11999041697006.0
46500.0,11999056718514.11
46600.0,11999071504503.375
46700.0,11999086058760.742
46800.0,11999100384528.742
46900.0,11999114485561.75
47000.0,11999128365538.11
47100.0,11999142027937.04
47200.0,11999155476577.125
47300.0,11999168714491.906
47400.0,11999181744987.79
47500.0,11999194570920.766
47600.0,11999207195641.828
47700.0,11999219622449.516
47800.0,11999231854459.906
47900.0,11999243895091.688
48000.0,11999255747059.438
48100.0,11999267413323.969
48200.0,11999278896441.828
48300.0,11999290199413.297
48400.0,11999301325191.156
48500.0,11999312276566.453
48600.0,11999323056598.797
48700.0,11999333667719.375
48800.0,11999344112578.188
48900.0,11999354393464.742
49000.0,11999364513065.281
49100.0,11999374474023.36
49200.0,11999384278837.234
49300.0,11999393930247.188
49400.0,11999403430428.719
49500.0,11999412781755.742
49600.0,11999421986277.422
49700.0,11999431046398.266
49800.0,11999439964485.797
49900.0,11999448742776.867
50000.0,11999457383724.031
50100.0,11999465889276.04
50200.0,11999474261557.531
50300.0,11999482502402.969
50400.0,11999490613966.11
50500.0,11999498598366.031
50600.0,11999506457605.016
50700.0,11999514193879.586
50800.0,11999521808933.977
50900.0,11999529304670.578
51000.0,11999536682731.734
51100.0,11999543945045.781
51200.0,11999551093509.984
51300.0,11999558129916.805
51400.0,11999565056233.18
51500.0,11999571874041.75
51600.0,11999578585007.258
51700.0,11999585190781.594
51800.0,11999591692987.719
51900.0,11999598093286.625
52000.0,11999604393104.078
52100.0,11999610594091.844
52200.0,11999616697867.734
52300.0,11999622705962.0
52400.0,11999628620053.54
52500.0,11999634441494.797
52600.0,11999640171707.414
52700.0,11999645812100.945
52800.0,11999651364062.14
52900.0,11999656829008.797
53000.0,11999662208158.719
53100.0,11999667502921.54
53200.0,11999672714679.305
53300.0,11999677844738.125
53400.0,11999682894532.36
53500.0,11999687865216.0
53600.0,11999692758003.125
53700.0,11999697574097.828
53800.0,11999702314683.547
53900.0,11999706980970.875
54000.0,11999711574000.016
54100.0,11999716094974.5
54200.0,11999720545074.445
54300.0,11999724925414.977
54400.0,11999729237220.828
54500.0,11999733481477.5
54600.0,11999737659221.523
54700.0,11999741771480.875
54800.0,11999745819266.266
54900.0,11999749803611.734
55000.0,11999753725404.484
55100.0,11999757585673.086
55200.0,11999761385424.71
55300.0,11999765125611.71
55400.0,11999768807279.844
55500.0,11999772431270.484
55600.0,11999775998468.812
55700.0,11999779509752.414
55800.0,11999782965984.422
55900.0,11999786368047.5
56000.0,11999789716699.805
56100.0,11999793012819.008
56200.0,11999796257265.328
56300.0,11999799450852.023
56400.0,11999802594471.703
56500.0,11999805688843.078
56600.0,11999808734721.812
56700.0,11999811732857.344
56800.0,11999814683986.344
56900.0,11999817588863.094
57000.0,11999820448134.484
57100.0,11999823262550.086
57200.0,11999826032844.203
57300.0,11999828759711.82
57400.0,11999831443914.344
57500.0,11999834086065.977
57600.0,11999836686811.75
57700.0,11999839246791.469
57800.0,11999841766634.742
57900.0,11999844246984.75
58000.0,11999846688394.508
58100.0,11999849091503.578
58200.0,11999851456939.36
58300.0,11999853785294.828
58400.0,11999856077220.586
58500.0,11999858333240.531
58600.0,11999860553905.984
58700.0,11999862739763.234
58800.0,11999864891349.594
58900.0,11999867009214.219
59000.0,11999869093829.14
59100.0,11999871145741.367
59200.0,11999873165485.375
59300.0,11999875153568.25
59400.0,11999877110545.531
59500.0,11999879036864.422
59600.0,11999880932995.375
59700.0,11999882799405.047
59800.0,11999884636552.281
59900.0,11999886444905.906
60000.0,11999888224869.234
60100.0,11999889976909.188
60200.0,11999891701481.648
60300.0,11999893399020.422
60400.0,11999895069999.328
60500.0,11999896714800.125
60600.0,11999898333825.04
60700.0,11999899927471.977
60800.0,11999901496132.984
60900.0,11999903040208.625
61000.0,11999904560042.844
61100.0,11999906056034.219
61200.0,11999907528572.828
61300.0,11999908978027.992
61400.0,11999910404804.953
61500.0,11999911809229.5
61600.0,11999913191645.266
61700.0,11999914552391.844
61800.0,11999915891803.984
61900.0,11999917210223.797
62000.0,11999918507944.719
62100.0,11999919785307.227
62200.0,11999921042644.602
62300.0,11999922280271.875
62400.0,11999923498535.328
62500.0,11999924697713.172
62600.0,11999925878098.18
62700.0,11999927039981.133
62800.0,11999928183011.648
62900.0,11999929308385.89
63000.0,11999930411576.828
63100.0,11999931497202.672
63200.0,11999932565747.906
63300.0,11999933617601.727
63400.0,11999934653044.719
63500.0,11999935672336.344
63600.0,11999936675728.516
63700.0,11999937663469.812
63800.0,11999938635804.164
63900.0,11999939592971.758
64000.0,11999940535209.484
64100.0,11999941462750.203
64200.0,11999942375822.79
64300.0,11999943274653.312
64400.0,11999944159463.64
64500.0,11999945030472.375
64600.0,11999945887895.172
64700.0,11999946731943.906
64800.0,11999947562826.938
64900.0,11999948380749.625
65000.0,11999949185914.406
65100.0,11999949978520.04
65200.0,11999950758762.61
65300.0,11999951526834.828
65400.0,11999952282926.414
65500.0,11999953027224.484
65600.0,11999953759913.008
65700.0,11999954481172.562
65800.0,11999955191182.016
65900.0,11999955890116.742
66000.0,11999956578149.453
66100.0,11999957255450.195
66200.0,11999957922186.055
66300.0,11999958578522.156
66400.0,11999959224620.75
66500.0,11999959860641.086
66600.0,11999960486740.93
66700.0,11999961103074.656
66800.0,11999961709794.953
66900.0,11999962307051.39
67000.0,11999962894991.656
67100.0,11999963473761.36
67200.0,11999964043503.016
67300.0,11999964604358.125
67400.0,11999965156464.672
67500.0,11999965699959.469
67600.0,11999966234976.703
67700.0,11999966761648.695
67800.0,11999967280105.531
67900.0,11999967790475.594
68000.0,11999968292884.703
68100.0,11999968787457.0
68200.0,11999969274314.984
68300.0,11999969753578.93
68400.0,11999970225367.14
68500.0,11999970689796.453
68600.0,11999971146981.61
68700.0,11999971597035.438
68800.0,11999972040069.156
68900.0,11999972476192.562
69000.0,11999972905513.031
69100.0,11999973328137.031
69200.0,11999973744168.86
69300.0,11999974153711.352
69400.0,11999974556865.766
69500.0,11999974953731.648
69600.0,11999975344407.258
69700.0,11999975728989.094
69800.0,11999976107572.047
69900.0,11999976480249.758
70000.0,11999976847114.531
70100.0,11999977208256.758
70200.0,11999977563766.031
70300.0,11999977913729.79
70400.0,11999978258234.938
70500.0,11999978597366.336
70600.0,11999978931207.992
70700.0,11999979259842.14
70800.0,11999979583350.36
70900.0,11999979901812.46
71000.0,11999980215307.125
71100.0,11999980523911.945
71200.0,11999980827703.195
71300.0,11999981126755.484
71400.0,11999981421143.312
71500.0,11999981710939.125
71600.0,11999981996214.79
71700.0,11999982277040.656
71800.0,11999982553486.07
71900.0,11999982825619.422
72000.0,11999983093508.18
72100.0,11999983357218.25
72200.0,11999983616814.781
72300.0,11999983872362.562
72400.0,11999984123923.836
72500.0,11999984371561.375
72600.0,11999984615336.172
72700.0,11999984855308.625
72800.0,11999985091537.906
72900.0,11999985324082.586
73000.0,11999985552999.688
73100.0,11999985778346.344
73200.0,11999986000178.0
73300.0,11999986218549.516
73400.0,11999986433514.797
73500.0,11999986645126.89
73600.0,11999986853438.266
73700.0,11999987058500.312
73800.0,11999987260364.008
73900.0,11999987459078.852
74000.0,11999987654694.086
74100.0,11999987847258.102
74200.0,11999988036818.594
74300.0,11999988223422.086
74400.0,11999988407115.203
74500.0,11999988587942.781
74600.0,11999988765949.82
