M.L_b.DIC Time [a],M.L_b.DIC DIC [mol/kg]
0.0,0.001952
100.0,0.0019425311554979714
200.0,0.0019407332867764277
300.0,0.0019400061052748403
400.0,0.0019396513072298014
500.0,0.0019394833237127284
600.0,0.0019394137586020515
700.0,0.0019393963053083965
800.0,0.0019394046819597418
900.0,0.0019394267999950792
1000.0,0.0019394542715867864
1100.0,0.0019394844567852867
1200.0,0.00193951427655091
1300.0,0.0019395431707088368
1400.0,0.0019395714094517073
1500.0,0.001939598514040449
1600.0,0.001939624151315459
1700.0,0.0019396474322028255
1800.0,0.0019396694519772642
1900.0,0.0019396905924358478
2000.0,0.00193971085329048
2100.0,0.0019397298738934947
2200.0,0.001939748346957257
2300.0,0.0019397668233675127
2400.0,0.0019397852500693568
2500.0,0.001939803532583709
2600.0,0.0019398215810208987
2700.0,0.001939839413002583
2800.0,0.0019398569651890916
2900.0,0.0019398742881975703
3000.0,0.001939891331705739
3100.0,0.0019399081358053673
3200.0,0.0019399246812458245
3300.0,0.0019399409742952027
3400.0,0.00193995703603958
3500.0,0.0019399728254609475
3600.0,0.0019399884140785797
3700.0,0.0019400037308208362
3800.0,0.0019400188450170402
3900.0,0.0019400337161683324
4000.0,0.0019400483558091467
4100.0,0.0019400627933603121
4200.0,0.0019400769895677773
4300.0,0.0019400909891597914
4400.0,0.001940104777777785
4500.0,0.0019401183310956253
4600.0,0.0019401317139735755
4700.0,0.0019401448817305935
4800.0,0.0019401578264334962
4900.0,0.0019401706236797684
5000.0,0.0019401831842863649
5100.0,0.0019401955637511688
5200.0,0.0019402077803646017
5300.0,0.0019402197811048238
5400.0,0.0019402316108484158
5500.0,0.0019402432750633305
5600.0,0.0019402547512406346
5700.0,0.0019402660347210845
5800.0,0.0019402771813126914
5900.0,0.0019402881592695137
6000.0,0.0019402989237925655
6100.0,0.001940309569021844
6200.0,0.0019403200665568904
6300.0,0.0019403303606554717
6400.0,0.001940340499899123
6500.0,0.0019403505379509578
6600.0,0.0019403603838755996
6700.0,0.00194037006673588
6800.0,0.0019403796350815176
6900.0,0.001940389057865865
