M.H_b.Omega Time [a],M.H_b.Omega pH [mol/kg]
0.0,3.1757274110836087
100.0,3.1766100575481278
200.0,3.191110259620796
300.0,3.1998992616378965
400.0,3.2051066058183655
500.0,3.2083037059656236
600.0,3.2103855307220734
700.0,3.2118390598147126
800.0,3.212932826190252
900.0,3.2138125712237247
1000.0,3.2145546771180262
1100.0,3.2152081025205805
1200.0,3.215799185657659
1300.0,3.216341568906375
1400.0,3.2168435921047713
1500.0,3.217311402899122
1600.0,3.217749852831337
1700.0,3.218164260142427
1800.0,3.2185513457217376
1900.0,3.2189096535813264
2000.0,3.219245618966557
2100.0,3.2195629849793943
2200.0,3.219866459352198
2300.0,3.22016034209217
2400.0,3.220448339718567
2500.0,3.220730496365979
2600.0,3.2210081604250527
2700.0,3.2212815531525094
2800.0,3.2215508495882497
2900.0,3.22181579402882
3000.0,3.2220766808661203
3100.0,3.22233383705383
3200.0,3.2225872331861414
3300.0,3.2228371608339987
3400.0,3.223083226998916
3500.0,3.223325838197036
3600.0,3.223564719609238
3700.0,3.2238001670020044
3800.0,3.224032408652964
3900.0,3.224260270597664
4000.0,3.2244857811792564
4100.0,3.2247077480005064
4200.0,3.224926433131192
4300.0,3.2251422360917874
4400.0,3.225354512080421
4500.0,3.2255638456949165
4600.0,3.2257701379754096
4700.0,3.225973108023792
4800.0,3.226173064792474
4900.0,3.226370403496096
5000.0,3.2265643438515
5100.0,3.2267553244531557
5200.0,3.226944286882959
5300.0,3.2271300089352617
5400.0,3.2273129720751643
5500.0,3.227493746171181
5600.0,3.227671862209504
5700.0,3.2278475369153936
5800.0,3.2280206985964814
5900.0,3.228191061688603
6000.0,3.2283591336301876
6100.0,3.228524858025248
6200.0,3.2286879345923154
6300.0,3.228848755922987
6400.0,3.2290072870823945
6500.0,3.2291634313451847
6600.0,3.2293169243040367
6700.0,3.229468237343007
6800.0,3.229617117137419
6900.0,3.2297642210725614
7000.0,3.2299088966343072
7100.0,3.230051661150623
7200.0,3.230192247662575
7300.0,3.2303310838440953
7400.0,3.2304677706249483
7500.0,3.2306026065264795
7600.0,3.23073562601204
7700.0,3.2308666223453164
7800.0,3.2309956187729996
7900.0,3.231122398467084
8000.0,3.23124714866568
8100.0,3.2313702857395024
8200.0,3.2314916916792233
8300.0,3.2316114666347233
8400.0,3.2317296358232945
8500.0,3.2318461120159094
8600.0,3.231960803101633
8700.0,3.232073722333805
8800.0,3.232185073457194
8900.0,3.2322947773971014
9000.0,3.232402960845299
9100.0,3.2325095512793793
9200.0,3.232614537577684
9300.0,3.232717949998668
9400.0,3.2328196797356274
9500.0,3.2329199526292784
9600.0,3.2330189877961693
9700.0,3.2331166008243737
9800.0,3.233212602376231
9900.0,3.2333070930521774
10000.0,3.2334004316340756
10100.0,3.2334925853259295
10200.0,3.233583430123727
10300.0,3.233672783707977
10400.0,3.233760656893245
10500.0,3.2338471506416595
10600.0,3.233932620253201
10700.0,3.234017058987255
10800.0,3.234100242303715
10900.0,3.2341820767589327
11000.0,3.234262597095756
11100.0,3.2343418576823844
11200.0,3.2344199261098647
11300.0,3.2344970962810144
11400.0,3.2345732659811213
11500.0,3.2346483101124015
11600.0,3.2347221796508845
11700.0,3.2347949009513384
11800.0,3.234866506454182
11900.0,3.234937021374677
12000.0,3.235006495580339
12100.0,3.2350750003069546
12200.0,3.2351423790668217
12300.0,3.2352088380723814
12400.0,3.2352744079195377
12500.0,3.2353391171399086
12600.0,3.2354028878787524
12700.0,3.2354657020377764
12800.0,3.23552745085998
12900.0,3.2355881262104806
13000.0,3.235648123650092
13100.0,3.235707224331445
13200.0,3.2357655346824106
13300.0,3.235823109520106
13400.0,3.2358799311482542
13500.0,3.2359359334138165
13600.0,3.235990974790768
13700.0,3.2360450274585792
13800.0,3.2360981557471997
13900.0,3.2361504174451423
14000.0,3.236202176212507
14100.0,3.2362533075501547
14200.0,3.236303747742879
14300.0,3.2363536175993604
14400.0,3.2364028303592463
14500.0,3.236451319216283
14600.0,3.2364985641128885
14700.0,3.23654504040424
14800.0,3.236590881465887
14900.0,3.2366360776345853
15000.0,3.2366805949351716
15100.0,3.236724432132069
15200.0,3.236767816943897
15300.0,3.2368107836531403
15400.0,3.236853276811982
15500.0,3.2368951258986693
15600.0,3.236936330470513
15700.0,3.236976832071748
15800.0,3.2370166603920096
15900.0,3.2370558531247635
16000.0,3.2370944365293624
16100.0,3.2371324280766913
16200.0,3.2371698407072134
16300.0,3.2372066851266124
16400.0,3.2372429708693344
16500.0,3.237278706831951
16600.0,3.2373139006559675
16700.0,3.237348855042696
16800.0,3.2373833883638676
16900.0,3.2374173340487866
17000.0,3.237450728592126
17100.0,3.23748366646437
17200.0,3.237516067408297
17300.0,3.237548063323604
17400.0,3.2375796021384238
17500.0,3.2376106678318735
17600.0,3.2376412622546598
17700.0,3.237671392357782
17800.0,3.2377010656945315
17900.0,3.2377302895001705
18000.0,3.2377590702924044
18100.0,3.237787415500867
18200.0,3.2378153308152715
18300.0,3.237842823104936
18400.0,3.237869861423088
18500.0,3.237896337428647
18600.0,3.23792249444557
18700.0,3.237948473919657
18800.0,3.237974186585702
18900.0,3.237999538892563
19000.0,3.2380246014133083
19100.0,3.238049325197922
19200.0,3.238073689751601
19300.0,3.238097690979918
19400.0,3.2381213311060697
19500.0,3.2381446143756056
19600.0,3.2381675456392847
19700.0,3.2381901296598152
19800.0,3.2382123719847016
19900.0,3.23823427701052
20000.0,3.2382558500444816
20100.0,3.2382770963086402
20200.0,3.2382980208094625
20300.0,3.238318628401609
20400.0,3.2383389008873205
20500.0,3.2383587132384473
20600.0,3.2383780649217915
20700.0,3.238397031808977
20800.0,3.2384156719323443
20900.0,3.2384340132901706
21000.0,3.2384520693764487
21100.0,3.2384698483406673
21200.0,3.2384873592110943
21300.0,3.238505052815145
21400.0,3.2385226573368087
21500.0,3.2385400863269624
21600.0,3.2385573027087964
21700.0,3.238574313594186
21800.0,3.2385910875698554
21900.0,3.238607656028551
22000.0,3.2386239915640957
22100.0,3.2386400853950583
22200.0,3.238655937296911
22300.0,3.2386715498197267
22400.0,3.2386869262176967
22500.0,3.238702069889664
22600.0,3.238716984048943
22700.0,3.2387316723716344
22800.0,3.238746137867765
22900.0,3.238760384095254
23000.0,3.2387744144881876
23100.0,3.2387882323346098
23200.0,3.2388018408373744
23300.0,3.2388151847487032
23400.0,3.238828152741981
23500.0,3.2388407843353635
23600.0,3.238853151276888
23700.0,3.2388653006712267
23800.0,3.2388772533793206
23900.0,3.238889019101136
24000.0,3.238900603634459
24100.0,3.23891201121294
24200.0,3.2389232452682926
24300.0,3.238934308799898
24400.0,3.23894520458192
24500.0,3.238955935261706
24600.0,3.2389665032471253
24700.0,3.238976911238594
24800.0,3.238987161399011
24900.0,3.238997256272525
25000.0,3.2390071983022644
25100.0,3.239016989821207
25200.0,3.239026633099036
25300.0,3.239036130372313
25400.0,3.239045483850154
25500.0,3.2390546957108017
25600.0,3.2390637680991174
25700.0,3.239072807125336
25800.0,3.2390821772119334
25900.0,3.239091540805157
26000.0,3.2391008370396097
26100.0,3.239110034913625
26200.0,3.2391191183651213
26300.0,3.2391280812566854
26400.0,3.2391369382999255
26500.0,3.2391456801637446
26600.0,3.2391542969633638
26700.0,3.2391627857751586
26800.0,3.2391711469040003
26900.0,3.239179381749701
27000.0,3.2391874920204877
27100.0,3.2391954795029845
27200.0,3.239203345979638
27300.0,3.239211093153336
27400.0,3.239218722803951
27500.0,3.2392262367916604
27600.0,3.2392336369330836
27700.0,3.2392409250711944
27800.0,3.2392481028492712
27900.0,3.239255171851118
28000.0,3.239262133610228
28100.0,3.2392689897390206
28200.0,3.239275741919865
28300.0,3.239282391790922
28400.0,3.2392888059123583
28500.0,3.239294965659332
28600.0,3.2393009246876345
28700.0,3.239306717472822
28800.0,3.239312396196362
28900.0,3.239317977650156
29000.0,3.2393234702969402
29100.0,3.239328889665486
29200.0,3.2393342333643607
29300.0,3.239339497238427
29400.0,3.2393446809593187
29500.0,3.2393497856695785
29600.0,3.2393548127705696
29700.0,3.2393597635912346
29800.0,3.2393646393655398
29900.0,3.2393694412519496
30000.0,3.2393741703274914
30100.0,3.2393788276954036
30200.0,3.23938341450034
30300.0,3.2393879318424195
30400.0,3.2393923807785554
30500.0,3.2393967623408715
30600.0,3.2394010775470896
30700.0,3.23940532740191
30800.0,3.2394095128955858
30900.0,3.2394136350031353
31000.0,3.2394176946844753
31100.0,3.239421692884888
31200.0,3.2394256305353375
31300.0,3.2394295085527345
31400.0,3.239433327840115
31500.0,3.2394370892972346
31600.0,3.2394407938598784
31700.0,3.2394444423647197
31800.0,3.2394480356173965
31900.0,3.239451574397044
32000.0,3.239455059522296
32100.0,3.2394584918471496
32200.0,3.2394618722031865
32300.0,3.239465201432091
32400.0,3.2394684802840406
32500.0,3.2394717094818315
32600.0,3.2394748897252206
32700.0,3.2394780217498824
32800.0,3.239481106323344
32900.0,3.239484144192942
33000.0,3.2394871361151196
33100.0,3.239490082764039
33200.0,3.239492984789294
33300.0,3.239495842819741
33400.0,3.23949865751654
33500.0,3.239501429569476
33600.0,3.239504159650175
33700.0,3.2395068484384453
33800.0,3.239509496540165
33900.0,3.2395121045391186
34000.0,3.2395146730004796
34100.0,3.2395172025184054
34200.0,3.2395196937128183
34300.0,3.2395221471873055
34400.0,3.239524563552813
34500.0,3.239526943353838
34600.0,3.2395292871150247
34700.0,3.23953159534429
34800.0,3.2395338685756117
34900.0,3.2395361073660984
35000.0,3.2395383122581993
35100.0,3.239540483800965
35200.0,3.2395426224837474
35300.0,3.2395447287836405
35400.0,3.2395468031838957
35500.0,3.2395488461661115
35600.0,3.2395508582060697
35700.0,3.239552839772507
35800.0,3.239554791327018
35900.0,3.2395567133188354
36000.0,3.239558606172
36100.0,3.2395604703253102
36200.0,3.2395623062353613
36300.0,3.2395641143467846
36400.0,3.239565895109912
36500.0,3.2395676489261085
36600.0,3.2395693761866458
36700.0,3.2395710772878403
36800.0,3.2395727526246305
36900.0,3.239574402587175
37000.0,3.2395760275598784
37100.0,3.239577627921293
37200.0,3.2395792040397913
37300.0,3.2395807562631287
37400.0,3.2395822849511475
37500.0,3.2395837904782745
37600.0,3.2395852732091464
37700.0,3.239586733513054
37800.0,3.2395881717191357
37900.0,3.2395895881445007
38000.0,3.239590983096131
38100.0,3.2395923568967504
38200.0,3.23959370988305
38300.0,3.2395950423828817
38400.0,3.2395963547280617
38500.0,3.239597647214347
38600.0,3.239598920130085
38700.0,3.2396001737673297
38800.0,3.239601408417147
38900.0,3.2396026243637266
39000.0,3.239603821875408
39100.0,3.2396050012298705
39200.0,3.2396061627160124
39300.0,3.2396073066151403
39400.0,3.2396084332121604
39500.0,3.2396095427610043
39600.0,3.239610635509218
39700.0,3.2396117117075582
39800.0,3.2396127716058722
39900.0,3.239613815451017
40000.0,3.239614843486188
40100.0,3.2396158559508774
40200.0,3.2396168530809177
40300.0,3.239617835108566
40400.0,3.239618802262544
40500.0,3.239619754765499
40600.0,3.2396206928275864
40700.0,3.2396216166662777
40800.0,3.239622526507875
40900.0,3.2396234225727314
41000.0,3.239624305084037
41100.0,3.23962517424071
41200.0,3.239626030236675
41300.0,3.23962687326835
41400.0,3.2396277035314625
41500.0,3.239628521219391
41600.0,3.239629326522641
41700.0,3.2396301196288197
41800.0,3.2396309007226627
41900.0,3.239631669986106
42000.0,3.2396324275983397
42100.0,3.2396331737337554
42200.0,3.2396339085569865
42300.0,3.2396346322383858
42400.0,3.239635344955225
42500.0,3.2396360468801317
42600.0,3.2396367381879307
42700.0,3.2396374190344464
42800.0,3.2396380895715957
42900.0,3.2396387499532366
43000.0,3.2396394003326923
43100.0,3.23964004086145
43200.0,3.239640671688739
43300.0,3.2396412929615197
43400.0,3.239641904824511
43500.0,3.2396425074202333
43600.0,3.2396431008890434
43700.0,3.2396436853675645
43800.0,3.239644260984748
43900.0,3.2396448278740557
44000.0,3.2396453861743417
44100.0,3.23964593602084
44200.0,3.2396464775504956
44300.0,3.239647010885378
44400.0,3.2396475361444805
44500.0,3.2396480534483345
44600.0,3.2396485629170497
44700.0,3.2396490646692806
