M.D_b.zsat Time [a],M.D_b.zsat zsat [mol/kg]
39700.0,3758
39800.0,3758
39900.0,3758
40000.0,3758
40100.0,3758
40200.0,3758
40300.0,3758
40400.0,3758
40500.0,3758
40600.0,3758
40700.0,3758
40800.0,3758
40900.0,3758
41000.0,3758
41100.0,3758
41200.0,3758
41300.0,3758
41400.0,3758
41500.0,3758
41600.0,3758
41700.0,3758
41800.0,3758
41900.0,3758
42000.0,3758
42100.0,3758
42200.0,3758
42300.0,3757
42400.0,3757
42500.0,3757
42600.0,3757
42700.0,3757
42800.0,3757
42900.0,3757
43000.0,3757
43100.0,3757
43200.0,3757
43300.0,3757
43400.0,3757
43500.0,3757
43600.0,3757
43700.0,3757
43800.0,3757
43900.0,3757
44000.0,3757
44100.0,3757
44200.0,3757
44300.0,3757
44400.0,3757
44500.0,3757
44600.0,3757
44700.0,3757
44800.0,3757
44900.0,3757
45000.0,3757
45100.0,3757
45200.0,3757
45300.0,3757
45400.0,3757
45500.0,3757
45600.0,3757
45700.0,3757
45800.0,3757
45900.0,3757
46000.0,3757
46100.0,3757
46200.0,3757
46300.0,3757
46400.0,3757
46500.0,3757
46600.0,3757
46700.0,3757
46800.0,3757
46900.0,3757
47000.0,3757
47100.0,3757
47200.0,3757
47300.0,3757
47400.0,3757
47500.0,3757
47600.0,3757
47700.0,3757
47800.0,3757
47900.0,3757
48000.0,3757
48100.0,3757
48200.0,3757
48300.0,3757
48400.0,3757
48500.0,3757
48600.0,3757
48700.0,3757
48800.0,3757
48900.0,3757
49000.0,3757
49100.0,3757
49200.0,3757
49300.0,3757
49400.0,3757
49500.0,3757
49600.0,3757
49700.0,3757
49800.0,3757
49900.0,3757
50000.0,3757
50100.0,3757
50200.0,3757
50300.0,3757
50400.0,3757
50500.0,3757
50600.0,3757
50700.0,3757
50800.0,3757
50900.0,3757
51000.0,3757
51100.0,3757
51200.0,3757
51300.0,3757
51400.0,3757
51500.0,3757
51600.0,3757
51700.0,3757
51800.0,3757
51900.0,3757
52000.0,3757
52100.0,3757
52200.0,3757
52300.0,3757
52400.0,3757
52500.0,3757
52600.0,3756
52700.0,3756
52800.0,3756
52900.0,3756
53000.0,3756
53100.0,3756
53200.0,3756
53300.0,3756
53400.0,3756
53500.0,3756
53600.0,3756
53700.0,3756
53800.0,3756
53900.0,3756
54000.0,3756
54100.0,3756
54200.0,3756
54300.0,3756
54400.0,3756
54500.0,3756
54600.0,3756
54700.0,3756
54800.0,3756
54900.0,3756
55000.0,3756
55100.0,3756
55200.0,3756
55300.0,3756
55400.0,3756
55500.0,3756
55600.0,3756
55700.0,3756
55800.0,3756
55900.0,3756
56000.0,3756
56100.0,3756
56200.0,3756
56300.0,3756
56400.0,3756
56500.0,3756
56600.0,3756
56700.0,3756
56800.0,3756
56900.0,3756
57000.0,3756
57100.0,3756
57200.0,3756
57300.0,3756
57400.0,3756
57500.0,3756
57600.0,3756
57700.0,3756
57800.0,3756
57900.0,3756
58000.0,3756
58100.0,3756
58200.0,3756
58300.0,3756
58400.0,3756
58500.0,3756
58600.0,3756
58700.0,3756
58800.0,3756
58900.0,3756
59000.0,3756
59100.0,3756
59200.0,3756
59300.0,3756
