M.H_b.CO2aq Time [a],M.H_b.CO2aq CO2aq [mol/kg]
14500.0,1.5745976813135043e-05
14600.0,1.574578466134719e-05
14700.0,1.574559547853129e-05
14800.0,1.5745407788461675e-05
14900.0,1.5745221950817445e-05
15000.0,1.5745038462010624e-05
15100.0,1.5744857502525418e-05
15200.0,1.5744680041159747e-05
15300.0,1.5744505808707663e-05
15400.0,1.5744334613304476e-05
15500.0,1.574416627786822e-05
15600.0,1.5744000672007355e-05
15700.0,1.5743837706703414e-05
15800.0,1.574367731784069e-05
15900.0,1.5743519454092985e-05
16000.0,1.574336407325136e-05
16100.0,1.5743211129720354e-05
16200.0,1.5743059666896086e-05
16300.0,1.574290915423555e-05
16400.0,1.574276083677865e-05
16500.0,1.574261514780789e-05
16600.0,1.5742471888816308e-05
16700.0,1.5742330978130475e-05
16800.0,1.5742192336362914e-05
16900.0,1.5742055899389524e-05
17000.0,1.574192161686001e-05
17100.0,1.574178944704566e-05
17200.0,1.5741659353072172e-05
17300.0,1.5741531300133328e-05
17400.0,1.5741405258043524e-05
17500.0,1.5741281194111385e-05
17600.0,1.5741159075374998e-05
17700.0,1.5741038870547064e-05
17800.0,1.5740920549718953e-05
17900.0,1.5740804691782627e-05
18000.0,1.5740691011072942e-05
18100.0,1.5740577898422846e-05
18200.0,1.5740465848262294e-05
18300.0,1.5740355182287626e-05
18400.0,1.5740246004982757e-05
18500.0,1.5740138414273663e-05
18600.0,1.574003243979181e-05
18700.0,1.5739928094585074e-05
18800.0,1.573982536805115e-05
18900.0,1.5739724242175437e-05
19000.0,1.5739624693644103e-05
19100.0,1.5739526702386773e-05
19200.0,1.5739430245737342e-05
19300.0,1.5739335300314026e-05
19400.0,1.573924184272282e-05
19500.0,1.573914984989989e-05
19600.0,1.573905930056593e-05
19700.0,1.5738970171966033e-05
19800.0,1.5738882500160192e-05
19900.0,1.5738797266430806e-05
20000.0,1.5738713768618487e-05
20100.0,1.5738631817725438e-05
20200.0,1.5738551324805227e-05
20300.0,1.5738472197102976e-05
20400.0,1.573839436426535e-05
20500.0,1.573831777833035e-05
20600.0,1.573824184070824e-05
20700.0,1.5738165560915716e-05
20800.0,1.5738089615061957e-05
20900.0,1.5738014410691947e-05
21000.0,1.5737940147673994e-05
21100.0,1.5737866886514384e-05
21200.0,1.5737794694339897e-05
21300.0,1.573772358895171e-05
21400.0,1.5737653578342487e-05
21500.0,1.5737584652888838e-05
21600.0,1.5737516802907603e-05
21700.0,1.5737450013081658e-05
21800.0,1.5737384266858376e-05
21900.0,1.5737319550187538e-05
22000.0,1.573725584754959e-05
22100.0,1.5737193143235e-05
22200.0,1.5737131422041593e-05
22300.0,1.5737070667928247e-05
22400.0,1.5737010867425485e-05
22500.0,1.573695200512365e-05
22600.0,1.573689421817286e-05
22700.0,1.5736838562756332e-05
22800.0,1.5736784014220454e-05
22900.0,1.5736730574299414e-05
23000.0,1.5736678084214768e-05
23100.0,1.5736626478559235e-05
23200.0,1.5736575730260256e-05
23300.0,1.5736525807662716e-05
23400.0,1.5736476683654974e-05
23500.0,1.573642833741688e-05
23600.0,1.573638075251334e-05
23700.0,1.573633391494831e-05
23800.0,1.5736287812778798e-05
23900.0,1.573624243269238e-05
24000.0,1.573619776472503e-05
24100.0,1.57361537969276e-05
24200.0,1.5736110517793284e-05
24300.0,1.5736067916376336e-05
24400.0,1.5736025982078136e-05
24500.0,1.5735984704481022e-05
24600.0,1.573594407330412e-05
24700.0,1.5735904078414472e-05
24800.0,1.5735864709839513e-05
24900.0,1.573582562760537e-05
25000.0,1.573578561337556e-05
25100.0,1.5735745262382142e-05
25200.0,1.573570501300152e-05
25300.0,1.5735665118662804e-05
25400.0,1.573562569866612e-05
25500.0,1.5735586807214657e-05
25600.0,1.573554847377157e-05
25700.0,1.5735510713963332e-05
25800.0,1.5735473532265755e-05
25900.0,1.5735436926419332e-05
26000.0,1.5735400890098598e-05
26100.0,1.5735365416627524e-05
26200.0,1.5735330498159325e-05
26300.0,1.573529612654597e-05
26400.0,1.5735262293998107e-05
26500.0,1.5735228991380702e-05
26600.0,1.573519621151833e-05
26700.0,1.5735163945766337e-05
26800.0,1.5735132185755015e-05
26900.0,1.573510092348689e-05
27000.0,1.5735070151193446e-05
27100.0,1.5735039861226557e-05
27200.0,1.5735010046033674e-05
27300.0,1.5734980698169e-05
27400.0,1.5734951810303542e-05
27500.0,1.5734923404652508e-05
27600.0,1.5734896531556505e-05
27700.0,1.5734870533952672e-05
27800.0,1.573484522898511e-05
27900.0,1.5734820400064637e-05
28000.0,1.5734796086255425e-05
28100.0,1.573477220493746e-05
28200.0,1.5734748701758992e-05
28300.0,1.5734725580523248e-05
28400.0,1.5734702833548812e-05
28500.0,1.573468044992586e-05
28600.0,1.5734658420508946e-05
28700.0,1.5734636737879296e-05
28800.0,1.573461539569702e-05
28900.0,1.5734594388201743e-05
29000.0,1.5734573709943856e-05
29100.0,1.5734553355823672e-05
29200.0,1.5734533320718116e-05
29300.0,1.573451359982395e-05
29400.0,1.5734494187930113e-05
29500.0,1.573447508004109e-05
29600.0,1.5734456271370853e-05
29700.0,1.5734437757251955e-05
29800.0,1.5734419533083982e-05
29900.0,1.573440159432658e-05
30000.0,1.5734383936506664e-05
30100.0,1.5734366555222325e-05
30200.0,1.573434944614217e-05
30300.0,1.573433260500328e-05
30400.0,1.573431602760945e-05
30500.0,1.5734299709829988e-05
30600.0,1.5734283647598894e-05
30700.0,1.5734267836912397e-05
30800.0,1.573425227383159e-05
30900.0,1.5734236954476008e-05
31000.0,1.5734221875030825e-05
31100.0,1.5734207031740278e-05
31200.0,1.5734192420907142e-05
31300.0,1.573417803889012e-05
31400.0,1.573416388210715e-05
31500.0,1.573414994702895e-05
31600.0,1.5734136230181116e-05
31700.0,1.5734122728146367e-05
31800.0,1.573410943755833e-05
31900.0,1.5734096355107618e-05
32000.0,1.5734083477535843e-05
32100.0,1.5734070801635465e-05
32200.0,1.5734058324247476e-05
32300.0,1.573404604226422e-05
32400.0,1.5734033952623887e-05
32500.0,1.5734022052312283e-05
32600.0,1.5734010338364685e-05
32700.0,1.5733998807860614e-05
32800.0,1.5733987457928983e-05
32900.0,1.573397628574298e-05
33000.0,1.5733965288519903e-05
33100.0,1.5733954463519115e-05
33200.0,1.573394380804456e-05
33300.0,1.5733933319439952e-05
33400.0,1.5733922995091222e-05
33500.0,1.5733912832425903e-05
33600.0,1.5733902828911972e-05
33700.0,1.5733892982057043e-05
33800.0,1.5733883289407718e-05
33900.0,1.5733873748548956e-05
34000.0,1.573386435710357e-05
34100.0,1.573385511273164e-05
34200.0,1.5733846013129855e-05
34300.0,1.573383705603101e-05
34400.0,1.5733828239203366e-05
34500.0,1.5733819560450182e-05
34600.0,1.5733811017609112e-05
34700.0,1.5733802608551624e-05
34800.0,1.5733794331182617e-05
34900.0,1.573378618343973e-05
35000.0,1.573377816329219e-05
35100.0,1.5733770268742104e-05
35200.0,1.573376249782122e-05
35300.0,1.5733754848594594e-05
35400.0,1.5733747319157176e-05
35500.0,1.5733739907633643e-05
35600.0,1.573373261217706e-05
35700.0,1.5733725430970536e-05
35800.0,1.573371836222391e-05
35900.0,1.5733711404175494e-05
36000.0,1.5733704555091623e-05
36100.0,1.5733697813265948e-05
36200.0,1.573369117701879e-05
36300.0,1.573368464469673e-05
36400.0,1.573367821467223e-05
36500.0,1.5733671885343243e-05
36600.0,1.5733665655132814e-05
36700.0,1.5733659522488146e-05
36800.0,1.5733653485881564e-05
36900.0,1.573364754380808e-05
37000.0,1.573364169478813e-05
37100.0,1.573363593736503e-05
37200.0,1.5733630270104885e-05
37300.0,1.5733624691595415e-05
37400.0,1.573361920044734e-05
37500.0,1.5733613795291804e-05
37600.0,1.5733608474781804e-05
37700.0,1.5733603237591735e-05
37800.0,1.573359808241678e-05
37900.0,1.573359300797258e-05
38000.0,1.573358801299487e-05
38100.0,1.5733583096239146e-05
38200.0,1.5733578256480463e-05
38300.0,1.5733573492513003e-05
38400.0,1.573356880314982e-05
38500.0,1.573356418722263e-05
38600.0,1.5733559643581345e-05
38700.0,1.573355517109396e-05
38800.0,1.5733550768646212e-05
38900.0,1.5733546435141245e-05
39000.0,1.573354216949936e-05
39100.0,1.5733537970657808e-05
39200.0,1.5733533837570513e-05
39300.0,1.573352976920772e-05
39400.0,1.5733525764555848e-05
39500.0,1.5733521822617116e-05
39600.0,1.5733517942409437e-05
39700.0,1.5733514122966134e-05
39800.0,1.5733510363335537e-05
39900.0,1.5733506662581014e-05
40000.0,1.5733503019780553e-05
40100.0,1.573349943402655e-05
40200.0,1.573349590442564e-05
40300.0,1.5733492430098464e-05
40400.0,1.573348901017946e-05
40500.0,1.5733485643816546e-05
40600.0,1.5733482330171015e-05
40700.0,1.57334790684173e-05
40800.0,1.5733475857742482e-05
40900.0,1.5733472697346787e-05
41000.0,1.573346958644233e-05
41100.0,1.5733466524254524e-05
41200.0,1.5733463510020784e-05
41300.0,1.573346054299041e-05
41400.0,1.5733457622424025e-05
41500.0,1.573345474759429e-05
41600.0,1.5733451917784617e-05
41700.0,1.5733449132289783e-05
41800.0,1.5733446390415812e-05
41900.0,1.573344369147959e-05
42000.0,1.5733441034808744e-05
42100.0,1.573343841974139e-05
42200.0,1.5733435845625985e-05
42300.0,1.5733433311821255e-05
42400.0,1.57334308176959e-05
42500.0,1.5733428362628555e-05
42600.0,1.5733425946007577e-05
42700.0,1.5733423567230847e-05
42800.0,1.5733421225705724e-05
42900.0,1.57334189208489e-05
43000.0,1.5733416652086124e-05
43100.0,1.5733414418852113e-05
43200.0,1.57334122205905e-05
43300.0,1.5733410056753655e-05
43400.0,1.5733407926802455e-05
43500.0,1.573340583020625e-05
43600.0,1.573340376644269e-05
43700.0,1.5733401734997624e-05
43800.0,1.573339973536492e-05
43900.0,1.5733397767046436e-05
44000.0,1.573339578328564e-05
44100.0,1.573339209958609e-05
44200.0,1.5733387604069104e-05
44300.0,1.573338264407184e-05
44400.0,1.5733377454200392e-05
44500.0,1.573337212488929e-05
44600.0,1.5733366752325304e-05
44700.0,1.573336139267714e-05
44800.0,1.573335608137312e-05
44900.0,1.5733350839000338e-05
45000.0,1.5733345670641257e-05
45100.0,1.573334057495417e-05
45200.0,1.5733335548847995e-05
45300.0,1.5733330597202483e-05
45400.0,1.573332572159614e-05
45500.0,1.5733320930762363e-05
45600.0,1.5733316218321564e-05
45700.0,1.573331157866788e-05
45800.0,1.5733307010147448e-05
45900.0,1.5733302507357868e-05
46000.0,1.5733298071950257e-05
46100.0,1.5733293705166558e-05
46200.0,1.5733289406700417e-05
46300.0,1.5733285175637143e-05
46400.0,1.5733281010921865e-05
46500.0,1.5733276911500044e-05
46600.0,1.5733272876353813e-05
46700.0,1.5733268904449983e-05
46800.0,1.5733264994893436e-05
46900.0,1.573326114668303e-05
47000.0,1.5733257358799236e-05
47100.0,1.573325363029552e-05
47200.0,1.5733249960139453e-05
47300.0,1.5733246347480836e-05
47400.0,1.573324279143104e-05
47500.0,1.5733239291199804e-05
47600.0,1.5733235845892532e-05
47700.0,1.5733232454595693e-05
47800.0,1.5733229116461558e-05
47900.0,1.573322583056583e-05
48000.0,1.5733222596147583e-05
48100.0,1.573321941241119e-05
48200.0,1.5733216278649185e-05
48300.0,1.5733213194060618e-05
48400.0,1.573321015782765e-05
48500.0,1.573320716919122e-05
48600.0,1.5733204227323868e-05
48700.0,1.5733201331544315e-05
48800.0,1.5733198481140252e-05
48900.0,1.573319567547829e-05
49000.0,1.5733192913841335e-05
49100.0,1.573319019549715e-05
49200.0,1.5733187519766235e-05
49300.0,1.5733184885907663e-05
49400.0,1.573318229331156e-05
49500.0,1.5733179741340182e-05
49600.0,1.5733177229426427e-05
49700.0,1.573317475692828e-05
49800.0,1.573317232319021e-05
49900.0,1.5733169927603794e-05
50000.0,1.573316756950577e-05
50100.0,1.573316524835001e-05
50200.0,1.5733162963565636e-05
50300.0,1.573316071464488e-05
50400.0,1.573315850101299e-05
50500.0,1.5733156322082987e-05
50600.0,1.5733154177310208e-05
50700.0,1.573315206610082e-05
50800.0,1.573314998796589e-05
50900.0,1.5733147942394267e-05
51000.0,1.5733145928931397e-05
51100.0,1.573314394706271e-05
51200.0,1.5733141996262645e-05
51300.0,1.5733140076043612e-05
51400.0,1.57331381858739e-05
51500.0,1.5733136325310087e-05
51600.0,1.5733134493904817e-05
51700.0,1.5733132691206628e-05
51800.0,1.5733130916772316e-05
51900.0,1.5733129170148542e-05
52000.0,1.5733127450941724e-05
52100.0,1.5733125758711438e-05
52200.0,1.573312409300926e-05
52300.0,1.5733122453418946e-05
52400.0,1.5733120839486536e-05
52500.0,1.573311925083327e-05
52600.0,1.5733117687077182e-05
52700.0,1.5733116147832817e-05
52800.0,1.5733114632721677e-05
52900.0,1.57331131413567e-05
53000.0,1.5733111673401812e-05
53100.0,1.5733110228481e-05
53200.0,1.573310880621133e-05
53300.0,1.5733107406237472e-05
53400.0,1.5733106028171692e-05
53500.0,1.5733104671690657e-05
53600.0,1.5733103336468217e-05
53700.0,1.5733102022175206e-05
53800.0,1.5733100728488477e-05
53900.0,1.573309945507758e-05
54000.0,1.573309820165551e-05
54100.0,1.57330969679012e-05
54200.0,1.5733095753487692e-05
54300.0,1.5733094558111575e-05
54400.0,1.573309338144181e-05
54500.0,1.5733092223202284e-05
54600.0,1.573309108311453e-05
54700.0,1.573308996089748e-05
54800.0,1.573308885627525e-05
54900.0,1.5733087768965578e-05
55000.0,1.5733086698723518e-05
55100.0,1.57330856452749e-05
55200.0,1.5733084608340526e-05
55300.0,1.5733083587661325e-05
55400.0,1.5733082582954652e-05
55500.0,1.5733081593984743e-05
55600.0,1.57330806205138e-05
55700.0,1.573307966230189e-05
55800.0,1.5733078719113395e-05
55900.0,1.5733077790707358e-05
56000.0,1.573307687687457e-05
56100.0,1.5733075977380945e-05
56200.0,1.5733075091988136e-05
56300.0,1.5733074220474872e-05
56400.0,1.5733073362599832e-05
56500.0,1.5733072518161723e-05
56600.0,1.5733071686957514e-05
56700.0,1.5733070868782285e-05
56800.0,1.5733070063434946e-05
56900.0,1.5733069270709686e-05
57000.0,1.5733068490427874e-05
57100.0,1.5733067722389657e-05
57200.0,1.573306696639149e-05
57300.0,1.573306622224444e-05
57400.0,1.5733065489742474e-05
57500.0,1.5733064768713728e-05
57600.0,1.5733064058984798e-05
57700.0,1.573306336038079e-05
57800.0,1.5733062672729904e-05
57900.0,1.5733061995856443e-05
58000.0,1.5733061329607896e-05
58100.0,1.57330606738136e-05
58200.0,1.5733060028299795e-05
58300.0,1.573305939290515e-05
58400.0,1.5733058767453716e-05
58500.0,1.57330581517988e-05
58600.0,1.5733057545792303e-05
58700.0,1.5733056949284857e-05
58800.0,1.5733056362129777e-05
58900.0,1.5733055784177082e-05
59000.0,1.5733055215296568e-05
59100.0,1.5733054655342426e-05
59200.0,1.573305410416639e-05
59300.0,1.5733053561630645e-05
59400.0,1.5733053027584995e-05
59500.0,1.5733052501904096e-05
59600.0,1.5733051984461576e-05
59700.0,1.5733051475129894e-05
59800.0,1.573305097378379e-05
59900.0,1.5733050480295193e-05
60000.0,1.5733049994552934e-05
60100.0,1.573304951643252e-05
60200.0,1.5733049045807305e-05
60300.0,1.5733048582559708e-05
60400.0,1.5733048126561398e-05
60500.0,1.57330476777054e-05
60600.0,1.573304723588379e-05
60700.0,1.5733046800987663e-05
60800.0,1.5733046372910103e-05
60900.0,1.5733045951541705e-05
61000.0,1.5733045536787557e-05
61100.0,1.5733045128541356e-05
61200.0,1.5733044726695e-05
61300.0,1.5733044331148046e-05
61400.0,1.5733043941790975e-05
61500.0,1.5733043558532432e-05
61600.0,1.5733043181280207e-05
61700.0,1.5733042809941362e-05
61800.0,1.5733042444424572e-05
61900.0,1.5733042084636445e-05
62000.0,1.573304173049592e-05
62100.0,1.573304138191231e-05
62200.0,1.5733041038793207e-05
62300.0,1.57330407010529e-05
62400.0,1.5733040368597835e-05
62500.0,1.573304004135003e-05
62600.0,1.5733039719230793e-05
62700.0,1.5733039402160737e-05
62800.0,1.5733039090235365e-05
62900.0,1.573303878312186e-05
63000.0,1.573303848199288e-05
63100.0,1.57330381857477e-05
63200.0,1.573303789415254e-05
63300.0,1.5733037607110233e-05
63400.0,1.573303732454592e-05
63500.0,1.5733037046389167e-05
63600.0,1.5733036772571194e-05
63700.0,1.573303650302424e-05
63800.0,1.573303623768174e-05
63900.0,1.573303597647813e-05
64000.0,1.5733035719348777e-05
64100.0,1.5733035466230166e-05
64200.0,1.573303521705975e-05
64300.0,1.5733034971775916e-05
64400.0,1.573303473031808e-05
64500.0,1.573303449262655e-05
64600.0,1.5733034258642604e-05
64700.0,1.573303402830834e-05
64800.0,1.573303380156688e-05
64900.0,1.5733033578362187e-05
65000.0,1.5733033358639053e-05
65100.0,1.573303314234321e-05
65200.0,1.5733032929421183e-05
65300.0,1.5733032719820343e-05
65400.0,1.573303251348891e-05
65500.0,1.573303231037587e-05
65600.0,1.5733032110431017e-05
65700.0,1.573303191360494e-05
65800.0,1.5733031719849004e-05
65900.0,1.5733031529115283e-05
66000.0,1.573303134135663e-05
66100.0,1.5733031156526686e-05
66200.0,1.5733030974579736e-05
66300.0,1.5733030795470855e-05
66400.0,1.57330306191557e-05
66500.0,1.573303044559079e-05
66600.0,1.5733030274733177e-05
66700.0,1.5733030106540613e-05
66800.0,1.5733029940971536e-05
66900.0,1.573302977798505e-05
67000.0,1.5733029617540855e-05
67100.0,1.573302945959926e-05
67200.0,1.5733029304121307e-05
67300.0,1.573302915106849e-05
67400.0,1.5733029000403045e-05
67500.0,1.5733028852087694e-05
67600.0,1.5733028706085794e-05
67700.0,1.5733028562361257e-05
67800.0,1.573302842087858e-05
67900.0,1.5733028281602737e-05
68000.0,1.573302814449934e-05
68100.0,1.5733028009534538e-05
68200.0,1.5733027876674927e-05
68300.0,1.5733027745887707e-05
68400.0,1.573302761714053e-05
68500.0,1.573302749040155e-05
68600.0,1.573302736563945e-05
68700.0,1.5733027242823425e-05
68800.0,1.5733027121923112e-05
68900.0,1.5733027002908613e-05
69000.0,1.5733026885750523e-05
69100.0,1.573302677041988e-05
69200.0,1.5733026656888184e-05
69300.0,1.5733026545127384e-05
69400.0,1.5733026435109845e-05
69500.0,1.5733026326808372e-05
69600.0,1.573302622019621e-05
69700.0,1.573302611524698e-05
69800.0,1.5733026011934787e-05
69900.0,1.573302591023407e-05
70000.0,1.5733025810119694e-05
70100.0,1.5733025711566922e-05
70200.0,1.573302561455138e-05
70300.0,1.5733025519049113e-05
70400.0,1.5733025425036513e-05
70500.0,1.573302533249033e-05
70600.0,1.5733025241387675e-05
70700.0,1.5733025151706106e-05
70800.0,1.5733025063423372e-05
70900.0,1.5733024976517694e-05
71000.0,1.5733024890967576e-05
71100.0,1.573302480675189e-05
71200.0,1.57330247238498e-05
71300.0,1.573302464224085e-05
71400.0,1.573302456190482e-05
71500.0,1.573302448282193e-05
71600.0,1.5733024404972573e-05
71700.0,1.57330243283375e-05
71800.0,1.5733024252897833e-05
71900.0,1.573302417863486e-05
72000.0,1.573302410553027e-05
72100.0,1.573302403356596e-05
72200.0,1.57330239627242e-05
72300.0,1.573302389298738e-05
72400.0,1.5733023824338366e-05
72500.0,1.5733023756760126e-05
72600.0,1.5733023690235988e-05
72700.0,1.5733023624749506e-05
72800.0,1.5733023560284488e-05
72900.0,1.573302349682498e-05
73000.0,1.5733023434355374e-05
73100.0,1.5733023372860162e-05
73200.0,1.5733023312324144e-05
73300.0,1.5733023252732385e-05
73400.0,1.573302319407016e-05
73500.0,1.573302313632295e-05
73600.0,1.5733023079476495e-05
73700.0,1.5733023023516748e-05
73800.0,1.5733022968429835e-05
73900.0,1.573302291420221e-05
74000.0,1.5733022860820438e-05
74100.0,1.5733022808271304e-05
74200.0,1.5733022756541843e-05
74300.0,1.5733022705619272e-05
74400.0,1.5733022655490985e-05
74500.0,1.573302260614462e-05
74600.0,1.573302255756796e-05
74700.0,1.5733022509749032e-05
74800.0,1.5733022462675996e-05
74900.0,1.5733022416337222e-05
75000.0,1.573302237072123e-05
75100.0,1.5733022325816743e-05
75200.0,1.573302228161268e-05
75300.0,1.5733022238098105e-05
75400.0,1.5733022195262297e-05
75500.0,1.5733022153094643e-05
75600.0,1.573302211158474e-05
75700.0,1.5733022070722325e-05
75800.0,1.5733022030497252e-05
75900.0,1.5733021990899637e-05
76000.0,1.573302195191968e-05
76100.0,1.5733021913547755e-05
76200.0,1.5733021875774348e-05
76300.0,1.5733021838590127e-05
76400.0,1.5733021801985913e-05
76500.0,1.5733021765952657e-05
76600.0,1.57330217304815e-05
76700.0,1.573302169556357e-05
76800.0,1.573302166119029e-05
76900.0,1.57330216273532e-05
77000.0,1.573302159404389e-05
77100.0,1.573302156125415e-05
77200.0,1.573302152897588e-05
77300.0,1.5733021497201104e-05
77400.0,1.573302146592193e-05
77500.0,1.5733021435130658e-05
77600.0,1.5733021404819703e-05
77700.0,1.5733021374981493e-05
77800.0,1.573302134560874e-05
77900.0,1.5733021316694134e-05
78000.0,1.5733021288230544e-05
78100.0,1.5733021260210948e-05
78200.0,1.5733021232628404e-05
78300.0,1.5733021205476096e-05
78400.0,1.5733021178747307e-05
78500.0,1.5733021152435455e-05
78600.0,1.5733021126534004e-05
78700.0,1.5733021101036567e-05
78800.0,1.5733021075936833e-05
78900.0,1.5733021051228594e-05
79000.0,1.5733021026905796e-05
79100.0,1.573302100296236e-05
79200.0,1.573302097939239e-05
79300.0,1.5733020956190105e-05
79400.0,1.5733020933349706e-05
79500.0,1.5733020910865582e-05
79600.0,1.5733020888732164e-05
79700.0,1.5733020866944006e-05
79800.0,1.573302084549568e-05
79900.0,1.5733020824381943e-05
80000.0,1.573302080359752e-05
80100.0,1.573302078313731e-05
80200.0,1.5733020762996242e-05
80300.0,1.5733020743169342e-05
80400.0,1.5733020723651673e-05
80500.0,1.5733020704438452e-05
80600.0,1.5733020685524935e-05
80700.0,1.5733020666906422e-05
80800.0,1.5733020648578337e-05
80900.0,1.5733020630536125e-05
81000.0,1.5733020612775335e-05
81100.0,1.5733020595291585e-05
81200.0,1.5733020578080547e-05
81300.0,1.573302056113798e-05
81400.0,1.573302054445966e-05
81500.0,1.573302052804151e-05
81600.0,1.5733020511879464e-05
81700.0,1.5733020495969488e-05
81800.0,1.5733020480307713e-05
81900.0,1.573302046489021e-05
82000.0,1.573302044971322e-05
82100.0,1.5733020434772906e-05
82200.0,1.5733020420065676e-05
82300.0,1.5733020405587864e-05
82400.0,1.5733020391335867e-05
82500.0,1.5733020377306162e-05
82600.0,1.5733020363495304e-05
82700.0,1.5733020349899845e-05
82800.0,1.573302033651648e-05
82900.0,1.5733020323341856e-05
83000.0,1.5733020310372772e-05
83100.0,1.573302029760595e-05
83200.0,1.5733020285038274e-05
83300.0,1.5733020272666605e-05
83400.0,1.5733020260487932e-05
83500.0,1.5733020248499187e-05
