M.H_b.DIC Time [a],M.H_b.DIC DIC [mol/kg]
0.0,0.002153
100.0,0.002152247955772682
200.0,0.0021509400584715137
300.0,0.0021504126851795624
400.0,0.0021501691328751293
500.0,0.0021500681111020193
600.0,0.002150041000466157
700.0,0.002150052672472745
800.0,0.0021500825381903337
900.0,0.0021501215332359654
1000.0,0.0021501630859021535
1100.0,0.0021502057009177952
1200.0,0.0021502464716438617
1300.0,0.002150285465402574
1400.0,0.002150323138184587
1500.0,0.0021503589827171206
1600.0,0.002150392702868222
1700.0,0.0021504234971393113
1800.0,0.0021504525895437994
1900.0,0.0021504803718055145
2000.0,0.0021505070171226465
2100.0,0.0021505319054031056
2200.0,0.0021505561323946583
2300.0,0.0021505802385829546
2400.0,0.002150604145854674
2500.0,0.0021506278085719555
2600.0,0.0021506511302973306
2700.0,0.0021506741611590618
2800.0,0.0021506968144742408
2900.0,0.002150719172743162
3000.0,0.0021507411624790236
3100.0,0.002150762845925463
3200.0,0.0021507841907856397
3300.0,0.0021508052133317403
3400.0,0.00215082593246589
3500.0,0.002150846303483256
3600.0,0.0021508664130115906
3700.0,0.0021508861688475478
3800.0,0.002150905671077212
3900.0,0.002150924849685332
4000.0,0.002150943740769771
4100.0,0.002150962359389187
4200.0,0.0021509806728696517
4300.0,0.002150998733105964
4400.0,0.0021510165172395983
4500.0,0.0021510340010190356
4600.0,0.0021510512642873387
4700.0,0.0021510682444230624
4800.0,0.0021510849478569806
4900.0,0.0021511014504507807
5000.0,0.0021511176492257644
5100.0,0.0021511336232931445
5200.0,0.0021511493737257584
5300.0,0.002151164853426161
5400.0,0.002151180114926488
5500.0,0.0021511951556973624
5600.0,0.002151209956846533
5700.0,0.0021512245121911387
5800.0,0.002151238888582773
5900.0,0.00215125304368315
6000.0,0.002151266926914326
6100.0,0.0021512806608363503
6200.0,0.0021512941934232937
6300.0,0.002151307468153268
6400.0,0.0021513205529034205
6500.0,0.0021513334925269173
6600.0,0.0021513461878332205
6700.0,0.0021513586787766004
6800.0,0.002151371021148795
6900.0,0.0021513831677755424
7000.0,0.002151395118355319
7100.0,0.0021514068810209366
7200.0,0.0021514184717383714
7300.0,0.002151429909165343
7400.0,0.0021514411669387268
7500.0,0.002151452219351326
7600.0,0.0021514631071036915
7700.0,0.0021514738821617474
7800.0,0.0021514844875705147
7900.0,0.002151494878292477
8000.0,0.00215150509610786
8100.0,0.002151515238631716
8200.0,0.0021515252271558432
8300.0,0.002151535011469478
8400.0,0.0021515446394055385
8500.0,0.0021515541280391665
8600.0,0.002151563539526378
8700.0,0.0021515727643544634
8800.0,0.0021515818386859194
8900.0,0.002151590771668163
9000.0,0.002151599565219095
9100.0,0.0021516082566233547
9200.0,0.0021516168168022507
9300.0,0.0021516252405349703
9400.0,0.002151633530453232
9500.0,0.002151641675499581
9600.0,0.0021516496731368373
9700.0,0.002151657622811949
9800.0,0.0021516654500440906
9900.0,0.002151673150430305
10000.0,0.0021516807075523036
10100.0,0.002151688113817154
10200.0,0.002151695407898556
10300.0,0.002151702674644946
10400.0,0.0021517098348198256
10500.0,0.0021517168724704276
10600.0,0.0021517237541073615
10700.0,0.0021517305236181225
10800.0,0.002151737189814631
10900.0,0.0021517437671496956
11000.0,0.002151750320118882
11100.0,0.0021517567567022364
11200.0,0.0021517630518886792
11300.0,0.0021517692438758635
11400.0,0.0021517753421820282
11500.0,0.0021517813467792166
11600.0,0.002151787257707154
11700.0,0.0021517931169002177
11800.0,0.0021517988931124598
11900.0,0.002151804567730114
12000.0,0.0021518101524424555
12100.0,0.002151815649634123
12200.0,0.0021518210603926817
12300.0,0.002151826386235457
12400.0,0.0021518316279808625
12500.0,0.0021518367388832496
12600.0,0.002151841842335429
12700.0,0.002151846887990188
12800.0,0.0021518518518796733
12900.0,0.0021518567357547897
13000.0,0.0021518615412156215
13100.0,0.002151866270430635
13200.0,0.0021518709181201716
13300.0,0.002151875452559783
13400.0,0.0021518799097968704
13500.0,0.00215188430246241
13600.0,0.002151888703566717
13700.0,0.0021518930554306954
13800.0,0.0021518973338348762
13900.0,0.0021519015422788897
14000.0,0.0021519056834060743
14100.0,0.002151909747470802
14200.0,0.00215191370947424
14300.0,0.002151917605169431
14400.0,0.0021519214444997267
14500.0,0.0021519252268014546
14600.0,0.002151928950934369
14700.0,0.0021519326226403248
14800.0,0.002151936320508678
14900.0,0.0021519399643253026
15000.0,0.002151943544345103
15100.0,0.002151947065632559
15200.0,0.002151950488746845
15300.0,0.0021519538444898564
15400.0,0.0021519571515192233
15500.0,0.0021519604107231275
15600.0,0.0021519636203434674
15700.0,0.002151966780059437
15800.0,0.00215196989042907
15900.0,0.002151972952198918
16000.0,0.00215197596605508
16100.0,0.00215197893276745
16200.0,0.002151981912530284
16300.0,0.0021519848804042513
16400.0,0.0021519877638845938
16500.0,0.0021519905790238305
16600.0,0.0021519933498584474
16700.0,0.0021519960792144312
16800.0,0.0021519987669387096
16900.0,0.0021520014129304283
17000.0,0.0021520040175858368
17100.0,0.0021520065815069534
17200.0,0.0021520091053148552
17300.0,0.00215201158962585
17400.0,0.002152014034991156
17500.0,0.0021520164420243816
17600.0,0.0021520188113541313
17700.0,0.0021520211435832578
17800.0,0.002152023439287527
17900.0,0.002152025669748773
18000.0,0.0021520278631595147
18100.0,0.0021520300987631267
18200.0,0.0021520322990478745
18300.0,0.0021520344606903467
18400.0,0.002152036587175579
18500.0,0.002152038679299116
18600.0,0.0021520407378192953
18700.0,0.0021520427636673865
18800.0,0.0021520447576145133
18900.0,0.002152046720241803
