M.L_b.TA Time [a],M.L_b.TA TA [mol/kg]
0.0,0.002288
100.0,0.0022781734593233585
200.0,0.002277661815807695
300.0,0.002277786117847817
400.0,0.0022779162593628143
500.0,0.0022780123715210334
600.0,0.0022781178868269032
700.0,0.0022782258371331077
800.0,0.0022783272340156572
900.0,0.002278421365307332
1000.0,0.0022785090055998025
1100.0,0.00227859131925638
1200.0,0.0022786695914401058
1300.0,0.0022787446503092427
1400.0,0.002278814979203698
1500.0,0.002278880272172736
1600.0,0.0022789421557796465
1700.0,0.0022790011455240274
1800.0,0.0022790547988847214
1900.0,0.002279103687768953
2000.0,0.0022791499071805367
2100.0,0.0022791937786853494
2200.0,0.0022792365797767618
2300.0,0.0022792786539494875
2400.0,0.0022793200966476548
2500.0,0.002279360914233771
2600.0,0.0022794011384746717
2700.0,0.002279441900509517
2800.0,0.002279483541093079
2900.0,0.0022795260856712843
3000.0,0.0022795695583436074
3100.0,0.002279613926606826
3200.0,0.0022796592284320305
3300.0,0.002279705381653912
3400.0,0.0022797524365240867
3500.0,0.0022797992773250808
3600.0,0.0022798466566028453
3700.0,0.002279893726415453
3800.0,0.00227994016011645
3900.0,0.002279987083112253
4000.0,0.0022800347531326407
4100.0,0.0022800832849088253
4200.0,0.0022801303792614205
4300.0,0.0022801742787093397
4400.0,0.0022802157121851346
4500.0,0.0022802549533081718
4600.0,0.0022802920422089583
4700.0,0.002280327069725806
4800.0,0.0022803600267700826
4900.0,0.0022803920821265174
5000.0,0.0022804224571532175
5100.0,0.002280450912705842
5200.0,0.0022804785300096744
5300.0,0.00228050453178259
5400.0,0.0022805287071714715
5500.0,0.0022805521163180658
5600.0,0.0022805750414019816
5700.0,0.0022805976351340344
5800.0,0.0022806199167256184
5900.0,0.002280642957129774
6000.0,0.0022806671576653835
6100.0,0.002280692529448176
6200.0,0.002280720182519625
6300.0,0.0022807484739137194
6400.0,0.0022807757314180503
6500.0,0.002280802110021485
6600.0,0.0022808276661919545
6700.0,0.0022808516481067076
6800.0,0.0022808738595484867
6900.0,0.002280895340099241
7000.0,0.002280916366163543
7100.0,0.0022809359758801727
7200.0,0.002280953881054361
7300.0,0.002280971120741252
7400.0,0.0022809879704327016
7500.0,0.0022810045332181408
7600.0,0.002281020885895039
7700.0,0.0022810370267081926
7800.0,0.0022810540204526554
7900.0,0.0022810733646649616
8000.0,0.0022810934380770006
8100.0,0.002281112589399032
8200.0,0.002281130992148701
8300.0,0.0022811487686417295
8400.0,0.00228116617953238
8500.0,0.00228118219806108
8600.0,0.002281196525315525
8700.0,0.0022812102561222706
8800.0,0.0022812236809864137
8900.0,0.0022812368522271056
9000.0,0.00228124978474805
9100.0,0.002281262512554948
9200.0,0.002281275095170276
9300.0,0.0022812875519815806
9400.0,0.002281300984506998
9500.0,0.0022813156995693654
9600.0,0.0022813317025297286
9700.0,0.002281349117169688
9800.0,0.0022813667561508533
9900.0,0.0022813853781286884
10000.0,0.002281405226099178
10100.0,0.002281426318301645
10200.0,0.0022814487308642573
10300.0,0.0022814712617451427
10400.0,0.002281494720620741
10500.0,0.002281518242371448
10600.0,0.0022815414862832344
10700.0,0.002281565580925192
10800.0,0.002281590748930615
10900.0,0.0022816160253908042
11000.0,0.002281641017974698
11100.0,0.002281666839272823
11200.0,0.0022816914878369993
11300.0,0.0022817143762983035
11400.0,0.002281736524546715
11500.0,0.002281758233206006
11600.0,0.0022817773122204526
11700.0,0.0022817931072971116
11800.0,0.0022818078761472913
11900.0,0.0022818222158122224
12000.0,0.0022818362855149543
12100.0,0.002281850129155387
12200.0,0.0022818626372106106
12300.0,0.002281873479354025
12400.0,0.0022818837696489853
12500.0,0.0022818938032042216
12600.0,0.002281903659185758
12700.0,0.0022819122127037193
12800.0,0.002281919127758452
12900.0,0.0022819255418652733
13000.0,0.002281931729379927
13100.0,0.0022819377624314296
13200.0,0.002281943688942619
13300.0,0.0022819484252037656
13400.0,0.002281952744523358
13500.0,0.0022819569646604504
13600.0,0.0022819599592547135
13700.0,0.0022819626034629734
13800.0,0.0022819651280730096
13900.0,0.0022819675941336505
14000.0,0.002281970017986642
14100.0,0.0022819724042318235
14200.0,0.0022819747544076544
14300.0,0.002281977069267145
14400.0,0.0022819793493681797
14500.0,0.0022819815952226288
14600.0,0.0022819838073315146
14700.0,0.0022819859861916984
14800.0,0.0022819881322960743
14900.0,0.0022819902461326657
15000.0,0.0022819923281838343
15100.0,0.002281994378925754
15200.0,0.0022819964101107293
15300.0,0.002281998414615632
15400.0,0.0022820003887721874
15500.0,0.0022820023214108567
15600.0,0.0022820041910653227
15700.0,0.00228200601259738
15800.0,0.002282007788448854
15900.0,0.002282009533169497
16000.0,0.0022820112518632833
16100.0,0.002282012944786156
16200.0,0.002282014612287296
16300.0,0.0022820162547371762
16400.0,0.002282017872508268
16500.0,0.002282019465969784
16600.0,0.0022820210442466094
16700.0,0.00228202260180815
16800.0,0.0022820241358059968
16900.0,0.0022820256465826737
17000.0,0.0022820271344849217
