M.D_b.zsnow Time [a],M.D_b.zsnow zsnow [mol/kg]
0.0,4750.0
100.0,4784.551201878259
200.0,4784.014795172961
300.0,4783.3620163778405
400.0,4782.664822183736
500.0,4781.981265578202
600.0,4781.361255872222
700.0,4780.787207758314
800.0,4780.273675626385
900.0,4779.8166191942455
1000.0,4779.419274396814
1100.0,4779.059441902415
1200.0,4778.7663191309975
1300.0,4778.511761866646
1400.0,4778.286702944061
1500.0,4778.097619048499
1600.0,4777.952658162809
1700.0,4777.849933519072
1800.0,4777.77372997332
1900.0,4777.724036685625
2000.0,4777.686281596049
2100.0,4777.684185480202
2200.0,4777.965986724849
2300.0,4778.000187341864
2400.0,4778.998661749334
2500.0,4779.000180934793
2600.0,4779.99468985752
2700.0,4780.0082024155845
2800.0,4780.008202415572
2900.0,4781.000082584957
3000.0,4781.000082584957
3100.0,4782.00000663238
3200.0,4782.00000663238
3300.0,4783.000067699994
3400.0,4783.000066810083
3500.0,4784.000051184958
3600.0,4784.000051204942
3700.0,4784.000051204949
3800.0,4785.002052457294
3900.0,4785.0020524572965
4000.0,4786.00002762635
4100.0,4786.000027626556
4200.0,4786.000027626556
4300.0,4787.000862828182
4400.0,4787.000921520242
4500.0,4788.000128808497
4600.0,4788.00013422976
4700.0,4788.000134229517
4800.0,4789.000004146503
4900.0,4789.000004138077
5000.0,4789.000004138077
5100.0,4790.000068149832
5200.0,4790.000068149514
5300.0,4790.000068149514
5400.0,4791.00005201963
5500.0,4791.000052019631
5600.0,4791.000052019631
5700.0,4792.000242878911
5800.0,4792.000243242982
5900.0,4792.000243236969
6000.0,4792.000243236969
6100.0,4793.000113219147
6200.0,4793.000113218079
6300.0,4793.000113218079
6400.0,4794.000009318873
6500.0,4794.00000931888
6600.0,4794.00000931888
6700.0,4794.00000931888
6800.0,4795.000025239506
6900.0,4795.000025239506
7000.0,4795.000025239506
7100.0,4795.000025239506
7200.0,4796.000028051738
7300.0,4796.000028051033
7400.0,4796.000028050898
7500.0,4796.000028050912
7600.0,4797.000102906704
7700.0,4797.000102906801
7800.0,4797.000102906801
7900.0,4797.000102906801
8000.0,4797.997961811014
8100.0,4798.000025240862
8200.0,4798.000025240862
8300.0,4798.000025240862
8400.0,4798.000025240862
8500.0,4799.00005082072
8600.0,4799.000055148344
8700.0,4799.000055148344
8800.0,4799.000055148344
8900.0,4799.000055148344
9000.0,4799.734507757205
9100.0,4800.000056025315
9200.0,4800.000056024835
9300.0,4800.0000560248145
9400.0,4800.0000560248145
9500.0,4800.0000560248145
9600.0,4801.00460894737
9700.0,4801.004910677582
9800.0,4801.004963292238
9900.0,4801.004987494451
10000.0,4801.004987557633
10100.0,4801.004987557633
10200.0,4802.000023649596
10300.0,4802.000025289814
10400.0,4802.000025289814
10500.0,4802.000025289814
10600.0,4802.000025289814
10700.0,4802.000025289814
10800.0,4802.000025289814
10900.0,4803.000025392968
11000.0,4803.000025392936
11100.0,4803.000025392936
11200.0,4803.000025392936
11300.0,4803.000025392936
11400.0,4803.000025392936
11500.0,4803.000025392936
11600.0,4803.000025392936
11700.0,4804.000055266591
11800.0,4804.000055266591
11900.0,4804.000055266591
12000.0,4804.000055266591
12100.0,4804.000055266591
12200.0,4804.000055266591
12300.0,4804.000055266591
12400.0,4804.000055266591
12500.0,4804.000055266591
12600.0,4805.000025394428
12700.0,4805.000025394428
12800.0,4805.000025394428
12900.0,4805.000025394428
13000.0,4805.000025394428
13100.0,4805.000025394428
13200.0,4805.000025394428
13300.0,4805.000025394428
13400.0,4805.000025394428
13500.0,4805.000025394428
13600.0,4806.000061035144
13700.0,4806.000061035144
13800.0,4806.000061035144
13900.0,4806.000061035144
14000.0,4806.000061035144
14100.0,4806.000061035144
14200.0,4806.000061035144
14300.0,4806.000061035144
14400.0,4806.000061035144
14500.0,4806.000061035144
14600.0,4806.000061035144
14700.0,4807.006464453504
14800.0,4807.004940874724
14900.0,4807.004973212031
15000.0,4807.004973212031
15100.0,4807.004973212031
15200.0,4807.004973212031
15300.0,4807.004973212031
15400.0,4807.004973212031
15500.0,4807.004973212031
15600.0,4807.004973212031
15700.0,4807.004973212031
15800.0,4807.004973212031
15900.0,4807.004973212031
16000.0,4807.004973212031
16100.0,4807.004973212031
16200.0,4808.000053857181
16300.0,4808.000053857181
16400.0,4808.000053857181
16500.0,4808.000053857181
16600.0,4808.000053857181
16700.0,4808.000053857181
16800.0,4808.000053857181
16900.0,4808.000053857181
17000.0,4808.000053857181
17100.0,4808.000053857181
17200.0,4808.000053857181
17300.0,4808.000053857181
17400.0,4808.000053857181
17500.0,4808.000053857181
17600.0,4808.000053857181
17700.0,4808.000053857181
17800.0,4808.000053857181
17900.0,4808.000053857181
18000.0,4809.000034453365
18100.0,4809.000034453365
18200.0,4809.000034453365
18300.0,4809.000034453365
18400.0,4809.000034453365
18500.0,4809.000034453365
18600.0,4809.000034453365
18700.0,4809.000034453365
18800.0,4809.000034453365
18900.0,4809.000034453365
19000.0,4809.000034453365
19100.0,4809.000034453365
19200.0,4809.000034453365
19300.0,4809.000034453365
19400.0,4809.000034453365
19500.0,4809.000034453365
19600.0,4809.000034453365
19700.0,4809.000034453365
19800.0,4809.000034453365
19900.0,4809.000034453365
20000.0,4809.000034453365
20100.0,4809.000034453365
20200.0,4809.000034453365
20300.0,4809.000034453365
20400.0,4809.000034453365
20500.0,4809.000034453365
20600.0,4810.000072944567
20700.0,4810.000072972894
20800.0,4810.000072972894
20900.0,4810.000072972894
21000.0,4810.000072972894
21100.0,4810.000072972894
21200.0,4810.000072972894
21300.0,4810.000072972894
21400.0,4810.000072972894
21500.0,4810.000072972894
21600.0,4810.000072972894
21700.0,4810.000072972894
21800.0,4810.000072972894
21900.0,4810.000072972894
22000.0,4810.000072972894
22100.0,4810.000072972894
22200.0,4810.000072972894
22300.0,4810.000072972894
22400.0,4810.000072972894
22500.0,4810.000072972894
22600.0,4810.000072972894
22700.0,4810.000072972894
22800.0,4810.000072972894
22900.0,4810.000072972894
23000.0,4810.000072972894
23100.0,4810.000072972894
23200.0,4810.000072972894
23300.0,4810.000072972894
23400.0,4810.000072972894
23500.0,4810.000072972894
23600.0,4810.000072972894
23700.0,4810.000072972894
23800.0,4810.000072972894
23900.0,4810.000072972894
24000.0,4810.000072972894
24100.0,4810.000072972894
24200.0,4810.000072972894
24300.0,4810.000072972894
24400.0,4810.000072972894
24500.0,4810.000072972894
24600.0,4810.000072972894
24700.0,4810.000072972894
24800.0,4810.000072972894
24900.0,4811.0000559095715
25000.0,4811.000064055252
25100.0,4811.000064055252
25200.0,4811.000064055252
25300.0,4811.000064055252
25400.0,4811.000064055252
25500.0,4811.000064055252
25600.0,4811.000064055252
25700.0,4811.000064055252
25800.0,4811.000064055252
25900.0,4811.000064055252
26000.0,4811.000064055252
26100.0,4811.000064055252
26200.0,4811.000064055252
26300.0,4811.000064055252
26400.0,4811.000064055252
26500.0,4811.000064055252
26600.0,4811.000064055252
26700.0,4811.000064055252
26800.0,4811.000064055252
26900.0,4811.000064055252
27000.0,4811.000064055252
27100.0,4811.000064055252
27200.0,4811.000064055252
27300.0,4811.000064055252
27400.0,4811.000064055252
27500.0,4811.000064055252
27600.0,4811.000064055252
27700.0,4811.000064055252
27800.0,4811.000064055252
27900.0,4811.000064055252
28000.0,4811.000064055252
28100.0,4811.000064055252
28200.0,4811.000064055252
28300.0,4811.000064055252
28400.0,4811.000064055252
28500.0,4811.000064055252
28600.0,4811.000064055252
28700.0,4811.000064055252
28800.0,4811.000064055252
28900.0,4811.000064055252
29000.0,4811.000064055252
29100.0,4811.000064055252
29200.0,4811.000064055252
29300.0,4811.000064055252
29400.0,4811.000064055252
29500.0,4811.000064055252
29600.0,4811.000064055252
29700.0,4811.000064055252
29800.0,4811.000064055252
29900.0,4811.000064055252
30000.0,4811.000064055252
30100.0,4811.000064055252
30200.0,4811.000064055252
30300.0,4811.000064055252
30400.0,4811.000064055252
30500.0,4811.000064055252
30600.0,4811.000064055252
30700.0,4811.000064055252
30800.0,4811.000064055252
30900.0,4811.000064055252
31000.0,4811.000064055252
31100.0,4811.000064055252
31200.0,4811.000064055252
31300.0,4811.000064055252
31400.0,4811.000064055252
31500.0,4811.000064055252
31600.0,4811.000064055252
31700.0,4811.000064055252
31800.0,4811.000064055252
31900.0,4811.000064055252
32000.0,4811.000064055252
32100.0,4811.000064055252
32200.0,4811.000064055252
32300.0,4811.000064055252
32400.0,4811.000064055252
32500.0,4811.000064055252
32600.0,4811.000064055252
32700.0,4811.000064055252
32800.0,4811.000064055252
32900.0,4811.000064055252
33000.0,4811.000064055252
33100.0,4811.000064055252
33200.0,4811.000064055252
33300.0,4811.000064055252
33400.0,4811.000064055252
33500.0,4811.000064055252
33600.0,4811.000064055252
33700.0,4811.000064055252
33800.0,4811.000064055252
33900.0,4811.000064055252
34000.0,4811.000064055252
34100.0,4811.000064055252
34200.0,4811.000064055252
34300.0,4811.000064055252
34400.0,4811.000064055252
34500.0,4811.000064055252
34600.0,4811.000064055252
34700.0,4811.000064055252
34800.0,4811.000064055252
34900.0,4811.000064055252
35000.0,4811.000064055252
35100.0,4811.000064055252
35200.0,4811.000064055252
35300.0,4811.000064055252
35400.0,4811.000064055252
35500.0,4811.000064055252
35600.0,4811.000064055252
35700.0,4811.000064055252
35800.0,4811.000064055252
35900.0,4811.000064055252
36000.0,4811.000064055252
36100.0,4811.000064055252
36200.0,4811.000064055252
36300.0,4811.000064055252
36400.0,4811.000064055252
36500.0,4811.000064055252
36600.0,4811.000064055252
36700.0,4811.000064055252
36800.0,4811.000064055252
36900.0,4811.000064055252
37000.0,4811.000064055252
37100.0,4811.000064055252
37200.0,4811.000064055252
37300.0,4811.000064055252
37400.0,4811.000064055252
37500.0,4811.000064055252
37600.0,4811.000064055252
37700.0,4811.000064055252
37800.0,4811.000064055252
37900.0,4811.000064055252
38000.0,4811.000064055252
38100.0,4811.000064055252
38200.0,4811.000064055252
38300.0,4811.000064055252
38400.0,4811.000064055252
38500.0,4811.000064055252
38600.0,4811.000064055252
38700.0,4811.000064055252
38800.0,4811.000064055252
38900.0,4811.000064055252
39000.0,4811.000064055252
39100.0,4811.000064055252
39200.0,4811.000064055252
39300.0,4811.000064055252
39400.0,4811.000064055252
39500.0,4811.000064055252
39600.0,4811.000064055252
39700.0,4811.000064055252
39800.0,4811.000064055252
39900.0,4811.000064055252
40000.0,4811.000064055252
40100.0,4811.000064055252
40200.0,4811.000064055252
40300.0,4811.000064055252
40400.0,4811.000064055252
40500.0,4811.000064055252
40600.0,4811.000064055252
40700.0,4811.000064055252
40800.0,4811.000064055252
40900.0,4811.000064055252
41000.0,4811.000064055252
41100.0,4811.000064055252
41200.0,4811.000064055252
41300.0,4811.000064055252
41400.0,4811.000064055252
41500.0,4811.000064055252
41600.0,4811.000064055252
41700.0,4811.000064055252
41800.0,4811.000064055252
41900.0,4811.000064055252
42000.0,4811.000064055252
42100.0,4811.000064055252
42200.0,4811.000064055252
42300.0,4811.000064055252
42400.0,4811.000064055252
42500.0,4811.000064055252
42600.0,4811.000064055252
42700.0,4811.000064055252
42800.0,4811.000064055252
42900.0,4811.000064055252
43000.0,4811.000064055252
43100.0,4811.000064055252
43200.0,4811.000064055252
43300.0,4811.000064055252
43400.0,4811.000064055252
43500.0,4811.000064055252
43600.0,4811.000064055252
43700.0,4811.000064055252
43800.0,4811.000064055252
43900.0,4811.000064055252
44000.0,4811.999974531152
44100.0,4812.000019965654
44200.0,4812.000019084347
44300.0,4812.000018743165
44400.0,4812.000018646627
44500.0,4812.0000186444795
44600.0,4812.0000186444795
44700.0,4812.0000186444795
44800.0,4812.0000186444795
44900.0,4812.0000186444795
45000.0,4812.0000186444795
45100.0,4812.0000186444795
45200.0,4812.0000186444795
45300.0,4812.0000186444795
45400.0,4812.0000186444795
45500.0,4812.0000186444795
45600.0,4812.0000186444795
45700.0,4812.0000186444795
45800.0,4812.0000186444795
45900.0,4812.0000186444795
46000.0,4812.0000186444795
46100.0,4812.0000186444795
46200.0,4812.0000186444795
46300.0,4812.0000186444795
46400.0,4812.0000186444795
46500.0,4812.0000186444795
46600.0,4812.0000186444795
46700.0,4812.0000186444795
46800.0,4812.0000186444795
46900.0,4812.0000186444795
47000.0,4812.0000186444795
47100.0,4812.0000186444795
47200.0,4812.0000186444795
47300.0,4812.0000186444795
47400.0,4812.0000186444795
47500.0,4812.0000186444795
47600.0,4812.0000186444795
47700.0,4812.0000186444795
47800.0,4812.0000186444795
47900.0,4812.0000186444795
48000.0,4812.0000186444795
48100.0,4812.0000186444795
48200.0,4812.0000186444795
48300.0,4812.0000186444795
48400.0,4812.0000186444795
48500.0,4812.0000186444795
48600.0,4812.0000186444795
48700.0,4812.0000186444795
48800.0,4812.0000186444795
48900.0,4812.0000186444795
49000.0,4812.0000186444795
49100.0,4812.0000186444795
49200.0,4812.0000186444795
49300.0,4812.0000186444795
49400.0,4812.0000186444795
49500.0,4812.0000186444795
49600.0,4812.0000186444795
49700.0,4812.0000186444795
49800.0,4812.0000186444795
49900.0,4812.0000186444795
50000.0,4812.0000186444795
50100.0,4812.0000186444795
50200.0,4812.0000186444795
50300.0,4812.0000186444795
50400.0,4812.0000186444795
50500.0,4812.0000186444795
50600.0,4812.0000186444795
50700.0,4812.0000186444795
50800.0,4812.0000186444795
50900.0,4812.0000186444795
51000.0,4812.0000186444795
51100.0,4812.0000186444795
51200.0,4812.0000186444795
51300.0,4812.0000186444795
51400.0,4812.0000186444795
51500.0,4812.0000186444795
51600.0,4812.0000186444795
51700.0,4812.0000186444795
51800.0,4812.0000186444795
51900.0,4812.0000186444795
52000.0,4812.0000186444795
52100.0,4812.0000186444795
52200.0,4812.0000186444795
52300.0,4812.0000186444795
52400.0,4812.0000186444795
52500.0,4812.0000186444795
52600.0,4812.0000186444795
52700.0,4812.0000186444795
52800.0,4812.0000186444795
52900.0,4812.0000186444795
53000.0,4812.0000186444795
53100.0,4812.0000186444795
53200.0,4812.0000186444795
53300.0,4812.0000186444795
53400.0,4812.0000186444795
53500.0,4812.0000186444795
53600.0,4812.0000186444795
53700.0,4812.0000186444795
53800.0,4812.0000186444795
53900.0,4812.0000186444795
54000.0,4812.0000186444795
54100.0,4812.0000186444795
54200.0,4812.0000186444795
54300.0,4812.0000186444795
54400.0,4812.0000186444795
54500.0,4812.0000186444795
54600.0,4812.0000186444795
54700.0,4812.0000186444795
54800.0,4812.0000186444795
54900.0,4812.0000186444795
55000.0,4812.0000186444795
55100.0,4812.0000186444795
55200.0,4812.0000186444795
55300.0,4812.0000186444795
55400.0,4812.0000186444795
55500.0,4812.0000186444795
55600.0,4812.0000186444795
55700.0,4812.0000186444795
55800.0,4812.0000186444795
55900.0,4812.0000186444795
56000.0,4812.0000186444795
56100.0,4812.0000186444795
56200.0,4812.0000186444795
56300.0,4812.0000186444795
56400.0,4812.0000186444795
56500.0,4812.0000186444795
56600.0,4812.0000186444795
56700.0,4812.0000186444795
56800.0,4812.0000186444795
56900.0,4812.0000186444795
57000.0,4812.0000186444795
57100.0,4812.0000186444795
57200.0,4812.0000186444795
57300.0,4812.0000186444795
57400.0,4812.0000186444795
57500.0,4812.0000186444795
57600.0,4812.0000186444795
57700.0,4812.0000186444795
57800.0,4812.0000186444795
57900.0,4812.0000186444795
58000.0,4812.0000186444795
58100.0,4812.0000186444795
58200.0,4812.0000186444795
58300.0,4812.0000186444795
58400.0,4812.0000186444795
58500.0,4812.0000186444795
58600.0,4812.0000186444795
58700.0,4812.0000186444795
58800.0,4812.0000186444795
58900.0,4812.0000186444795
59000.0,4812.0000186444795
59100.0,4812.0000186444795
59200.0,4812.0000186444795
59300.0,4812.0000186444795
59400.0,4812.0000186444795
59500.0,4812.0000186444795
59600.0,4812.0000186444795
59700.0,4812.0000186444795
59800.0,4812.0000186444795
59900.0,4812.0000186444795
60000.0,4812.0000186444795
60100.0,4812.0000186444795
60200.0,4812.0000186444795
60300.0,4812.0000186444795
60400.0,4812.0000186444795
60500.0,4812.0000186444795
60600.0,4812.0000186444795
60700.0,4812.0000186444795
60800.0,4812.0000186444795
60900.0,4812.0000186444795
61000.0,4812.0000186444795
61100.0,4812.0000186444795
61200.0,4812.0000186444795
61300.0,4812.0000186444795
61400.0,4812.0000186444795
61500.0,4812.0000186444795
61600.0,4812.0000186444795
61700.0,4812.0000186444795
61800.0,4812.0000186444795
61900.0,4812.0000186444795
62000.0,4812.0000186444795
62100.0,4812.0000186444795
62200.0,4812.0000186444795
62300.0,4812.0000186444795
62400.0,4812.0000186444795
62500.0,4812.0000186444795
62600.0,4812.0000186444795
62700.0,4812.0000186444795
62800.0,4812.0000186444795
62900.0,4812.0000186444795
63000.0,4812.0000186444795
63100.0,4812.0000186444795
63200.0,4812.0000186444795
63300.0,4812.0000186444795
63400.0,4812.0000186444795
63500.0,4812.0000186444795
63600.0,4812.0000186444795
63700.0,4812.0000186444795
63800.0,4812.0000186444795
63900.0,4812.0000186444795
64000.0,4812.0000186444795
64100.0,4812.0000186444795
64200.0,4812.0000186444795
64300.0,4812.0000186444795
64400.0,4812.0000186444795
64500.0,4812.0000186444795
64600.0,4812.0000186444795
64700.0,4812.0000186444795
64800.0,4812.0000186444795
64900.0,4812.0000186444795
65000.0,4812.0000186444795
65100.0,4812.0000186444795
65200.0,4812.0000186444795
65300.0,4812.0000186444795
65400.0,4812.0000186444795
65500.0,4812.0000186444795
65600.0,4812.0000186444795
65700.0,4812.0000186444795
65800.0,4812.0000186444795
65900.0,4812.0000186444795
66000.0,4812.0000186444795
66100.0,4812.0000186444795
66200.0,4812.0000186444795
66300.0,4812.0000186444795
66400.0,4812.0000186444795
66500.0,4812.0000186444795
66600.0,4812.0000186444795
66700.0,4812.0000186444795
66800.0,4812.0000186444795
66900.0,4812.0000186444795
67000.0,4812.0000186444795
67100.0,4812.0000186444795
67200.0,4812.0000186444795
67300.0,4812.0000186444795
67400.0,4812.0000186444795
67500.0,4812.0000186444795
67600.0,4812.0000186444795
67700.0,4812.0000186444795
67800.0,4812.0000186444795
67900.0,4812.0000186444795
68000.0,4812.0000186444795
68100.0,4812.0000186444795
68200.0,4812.0000186444795
68300.0,4812.0000186444795
68400.0,4812.0000186444795
68500.0,4812.0000186444795
68600.0,4812.0000186444795
68700.0,4812.0000186444795
68800.0,4812.0000186444795
68900.0,4812.0000186444795
69000.0,4812.0000186444795
69100.0,4812.0000186444795
69200.0,4812.0000186444795
69300.0,4812.0000186444795
69400.0,4812.0000186444795
69500.0,4812.0000186444795
69600.0,4812.0000186444795
69700.0,4812.0000186444795
69800.0,4812.0000186444795
69900.0,4812.0000186444795
70000.0,4812.0000186444795
70100.0,4812.0000186444795
70200.0,4812.0000186444795
70300.0,4812.0000186444795
70400.0,4812.0000186444795
70500.0,4812.0000186444795
70600.0,4812.0000186444795
70700.0,4812.0000186444795
70800.0,4812.0000186444795
70900.0,4812.0000186444795
71000.0,4812.0000186444795
71100.0,4812.0000186444795
71200.0,4812.0000186444795
71300.0,4812.0000186444795
71400.0,4812.0000186444795
71500.0,4812.0000186444795
71600.0,4812.0000186444795
71700.0,4812.0000186444795
71800.0,4812.0000186444795
71900.0,4812.0000186444795
72000.0,4812.0000186444795
72100.0,4812.0000186444795
72200.0,4812.0000186444795
72300.0,4812.0000186444795
72400.0,4812.0000186444795
72500.0,4812.0000186444795
72600.0,4812.0000186444795
72700.0,4812.0000186444795
72800.0,4812.0000186444795
72900.0,4812.0000186444795
73000.0,4812.0000186444795
73100.0,4812.0000186444795
73200.0,4812.0000186444795
73300.0,4812.0000186444795
73400.0,4812.0000186444795
73500.0,4812.0000186444795
73600.0,4812.0000186444795
73700.0,4812.0000186444795
73800.0,4812.0000186444795
73900.0,4812.0000186444795
74000.0,4812.0000186444795
74100.0,4812.0000186444795
74200.0,4812.0000186444795
74300.0,4812.0000186444795
74400.0,4812.0000186444795
74500.0,4812.0000186444795
74600.0,4812.0000186444795
74700.0,4812.0000186444795
74800.0,4812.0000186444795
74900.0,4812.0000186444795
75000.0,4812.0000186444795
75100.0,4812.0000186444795
75200.0,4812.0000186444795
75300.0,4812.0000186444795
75400.0,4812.0000186444795
75500.0,4812.0000186444795
75600.0,4812.0000186444795
75700.0,4812.0000186444795
75800.0,4812.0000186444795
75900.0,4812.0000186444795
76000.0,4812.0000186444795
76100.0,4812.0000186444795
76200.0,4812.0000186444795
76300.0,4812.0000186444795
76400.0,4812.0000186444795
76500.0,4812.0000186444795
76600.0,4812.0000186444795
76700.0,4812.0000186444795
76800.0,4812.0000186444795
76900.0,4812.0000186444795
77000.0,4812.0000186444795
77100.0,4812.0000186444795
77200.0,4812.0000186444795
77300.0,4812.0000186444795
77400.0,4812.0000186444795
77500.0,4812.0000186444795
77600.0,4812.0000186444795
77700.0,4812.0000186444795
77800.0,4812.0000186444795
77900.0,4812.0000186444795
78000.0,4812.0000186444795
78100.0,4812.0000186444795
78200.0,4812.0000186444795
78300.0,4812.0000186444795
78400.0,4812.0000186444795
78500.0,4812.0000186444795
78600.0,4812.0000186444795
78700.0,4812.0000186444795
78800.0,4812.0000186444795
78900.0,4812.0000186444795
79000.0,4812.0000186444795
79100.0,4812.0000186444795
79200.0,4812.0000186444795
79300.0,4812.0000186444795
79400.0,4812.0000186444795
79500.0,4812.0000186444795
79600.0,4812.0000186444795
79700.0,4812.0000186444795
79800.0,4812.0000186444795
79900.0,4812.0000186444795
80000.0,4812.0000186444795
80100.0,4812.0000186444795
80200.0,4812.0000186444795
80300.0,4812.0000186444795
80400.0,4812.0000186444795
80500.0,4812.0000186444795
80600.0,4812.0000186444795
80700.0,4812.0000186444795
80800.0,4812.0000186444795
80900.0,4812.0000186444795
81000.0,4812.0000186444795
81100.0,4812.0000186444795
81200.0,4812.0000186444795
81300.0,4812.0000186444795
81400.0,4812.0000186444795
81500.0,4812.0000186444795
81600.0,4812.0000186444795
81700.0,4812.0000186444795
81800.0,4812.0000186444795
81900.0,4812.0000186444795
82000.0,4812.0000186444795
82100.0,4812.0000186444795
82200.0,4812.0000186444795
82300.0,4812.0000186444795
82400.0,4812.0000186444795
82500.0,4812.0000186444795
82600.0,4812.0000186444795
82700.0,4812.0000186444795
82800.0,4812.0000186444795
82900.0,4812.0000186444795
83000.0,4812.0000186444795
83100.0,4812.0000186444795
83200.0,4812.0000186444795
83300.0,4812.0000186444795
83400.0,4812.0000186444795
83500.0,4812.0000186444795
83600.0,4812.0000186444795
83700.0,4812.0000186444795
83800.0,4812.0000186444795
83900.0,4812.0000186444795
84000.0,4812.0000186444795
84100.0,4812.0000186444795
84200.0,4812.0000186444795
84300.0,4812.0000186444795
84400.0,4812.0000186444795
84500.0,4812.0000186444795
84600.0,4812.0000186444795
84700.0,4812.0000186444795
84800.0,4812.0000186444795
84900.0,4812.0000186444795
85000.0,4812.0000186444795
85100.0,4812.0000186444795
85200.0,4812.0000186444795
85300.0,4812.0000186444795
85400.0,4812.0000186444795
85500.0,4812.0000186444795
85600.0,4812.0000186444795
85700.0,4812.0000186444795
85800.0,4812.0000186444795
85900.0,4812.0000186444795
86000.0,4812.0000186444795
86100.0,4812.0000186444795
86200.0,4812.0000186444795
86300.0,4812.0000186444795
86400.0,4812.0000186444795
86500.0,4812.0000186444795
86600.0,4812.0000186444795
86700.0,4812.0000186444795
86800.0,4812.0000186444795
86900.0,4812.0000186444795
87000.0,4812.0000186444795
87100.0,4812.0000186444795
87200.0,4812.0000186444795
