M.H_b.TA Time [a],M.H_b.TA TA [mol/kg]
0.0,0.002345
100.0,0.0023443467455356764
200.0,0.0023440891696298455
300.0,0.002344182121487389
400.0,0.0023443018180765154
500.0,0.0023444225585475356
600.0,0.0023445386687034457
700.0,0.0023446497778793875
800.0,0.00234475408582996
900.0,0.0023448524023587315
1000.0,0.0023449438674100678
1100.0,0.0023450305581969155
1200.0,0.0023451108929307585
1300.0,0.0023451860041920998
1400.0,0.0023452573196478103
1500.0,0.0023453245338362623
1600.0,0.0023453876834301887
1700.0,0.0023454456133342465
1800.0,0.0023455000732237473
1900.0,0.002345551761701369
2000.0,0.0023456010739494318
2100.0,0.0023456472374636874
2200.0,0.0023456918539654895
2300.0,0.0023457357288155234
2400.0,0.0023457789530302426
2500.0,0.0023458215616119515
2600.0,0.002345863486797822
2700.0,0.0023459048254746715
2800.0,0.0023459454844998538
2900.0,0.002345985579875176
3000.0,0.0023460250271824987
3100.0,0.0023460639070384095
3200.0,0.002346102186781958
3300.0,0.002346139886250468
3400.0,0.002346177035354256
3500.0,0.002346213575201135
3600.0,0.002346249624044359
3700.0,0.002346285063776595
3800.0,0.0023463200249138894
3900.0,0.002346354422605059
4000.0,0.0023463883011897078
4100.0,0.002346421685478633
4200.0,0.002346454535608152
4300.0,0.0023464869186132424
4400.0,0.00234651880997587
4500.0,0.0023465501760026714
4600.0,0.002346581124364083
4700.0,0.0023466115787414365
4800.0,0.002346641543458811
4900.0,0.00234667112428622
5000.0,0.002346700188694035
5100.0,0.0023467288361920346
5200.0,0.002346757076509197
5300.0,0.0023467848487110955
5400.0,0.002346812218058503
5500.0,0.0023468391893516033
5600.0,0.0023468657382490995
5700.0,0.002346891853352817
5800.0,0.00234691762756976
5900.0,0.0023469430109558554
6000.0,0.0023469679319616343
6100.0,0.00234699255240012
6200.0,0.002347016814267581
6300.0,0.002347040638960823
6400.0,0.002347064113149074
6500.0,0.0023470873033729495
6600.0,0.0023471100831078083
6700.0,0.0023471324993932573
6800.0,0.0023471546259072273
6900.0,0.0023471764103963734
7000.0,0.0023471978503881814
7100.0,0.002347218955047458
7200.0,0.002347239744982137
7300.0,0.002347260252305958
7400.0,0.002347280443308993
7500.0,0.0023473002812516497
7600.0,0.0023473198173034684
7700.0,0.0023473391282341372
7800.0,0.0023473581439875813
7900.0,0.002347376799007446
8000.0,0.002347395146785239
8100.0,0.0023474133181031363
8200.0,0.0023474312220147747
8300.0,0.002347448786529321
8400.0,0.002347466070566723
8500.0,0.002347483097027982
8600.0,0.0023474999542972474
8700.0,0.0023475165047696467
8800.0,0.002347532789980749
8900.0,0.0023475488211763366
9000.0,0.002347564601702697
9100.0,0.0023475801830164385
9200.0,0.0023475955328360037
9300.0,0.0023476106433585656
9400.0,0.002347625516898543
9500.0,0.002347640137572149
9600.0,0.0023476545005521633
9700.0,0.0023476687414830592
9800.0,0.0023476827709156766
9900.0,0.002347696580905791
10000.0,0.0023477101461761604
10100.0,0.002347723453473086
10200.0,0.0023477365530371118
10300.0,0.0023477495622919904
10400.0,0.002347762389066926
10500.0,0.002347775008428968
10600.0,0.0023477873706423758
10700.0,0.002347799530409021
10800.0,0.0023478115002065277
10900.0,0.002347823300947288
11000.0,0.0023478350253853726
11100.0,0.0023478465594409777
11200.0,0.0023478578631629795
11300.0,0.002347868982766865
11400.0,0.00234787993067422
11500.0,0.0023478907084152558
11600.0,0.0023479013173756287
11700.0,0.002347911814124665
11800.0,0.002347922165581863
11900.0,0.0023479323455095906
12000.0,0.002347942366506054
12100.0,0.002347952231227169
12200.0,0.0023479619414667726
12300.0,0.0023479714996548513
12400.0,0.002347980907271196
12500.0,0.0023479900992927436
12600.0,0.0023479992408619067
12700.0,0.0023480082761587126
12800.0,0.0023480171733322695
12900.0,0.0023480259321764633
13000.0,0.002348034553667641
13100.0,0.002348043039939779
13200.0,0.0023480513834030704
13300.0,0.0023480595391397563
13400.0,0.0023480675544066223
13500.0,0.0023480754459657338
13600.0,0.002348083315990428
13700.0,0.002348091100156524
13800.0,0.0023480987641519672
13900.0,0.0023481063093263965
14000.0,0.002348113737360461
14100.0,0.00234812103376949
14200.0,0.002348128161904184
14300.0,0.0023481351681000667
14400.0,0.002348142066379702
14500.0,0.002348148858229115
14600.0,0.002348155543950351
14700.0,0.0023481621323621768
14800.0,0.002348168732289057
14900.0,0.002348175246903664
15000.0,0.0023481816588038504
15100.0,0.00234818797155982
15200.0,0.002348194127646708
15300.0,0.0023482001659501715
15400.0,0.0023482061103040405
15500.0,0.0023482119639396354
15600.0,0.0023482177264588797
15700.0,0.002348223398602182
15800.0,0.0023482289818104714
15900.0,0.00234823447758199
16000.0,0.0023482398872318204
16100.0,0.0023482452122135494
16200.0,0.0023482505338333717
16300.0,0.0023482558298804925
16400.0,0.0023482610013553467
16500.0,0.00234826606139356
16600.0,0.002348271040120579
16700.0,0.002348275941804336
16800.0,0.0023482807672579958
16900.0,0.00234828551716497
17000.0,0.0023482901926088376
17100.0,0.0023482947948023705
17200.0,0.0023482993249197394
17300.0,0.0023483037841038634
17400.0,0.002348308173365084
17500.0,0.0023483124938169083
17600.0,0.002348316746593535
17700.0,0.002348320932778634
17800.0,0.002348325053407519
17900.0,0.0023483290681547485
18000.0,0.0023483330131578465
18100.0,0.002348336999625734
18200.0,0.00234834093217209
18300.0,0.0023483448029606394
18400.0,0.0023483486146989724
18500.0,0.0023483523670794772
18600.0,0.0023483560606044696
18700.0,0.0023483596961823712
18800.0,0.0023483632748326844
18900.0,0.0023483667974487097
