M.CP Time [a],M.CP CO2 [mol/kg]
0.0,2674850000000.0
0.08333333333333333,2674850000000.0
0.16666666666666666,2674850000000.0
0.25,2674850000000.0
0.3333333333333333,2674850000000.0
0.41666666666666663,2674850000000.0
0.5,2674850000000.0
0.5833333333333333,2674850000000.0
0.6666666666666666,2674850000000.0
0.75,2674850000000.0
0.8333333333333333,2674850000000.0
0.9166666666666666,2674850000000.0
1.0,2674850000000.0
1.0833333333333333,2674850000000.0
1.1666666666666665,2674850000000.0
1.25,2674850000000.0
1.3333333333333333,2674850000000.0
1.4166666666666665,2674850000000.0
1.5,2674850000000.0
1.5833333333333333,2674850000000.0
1.6666666666666665,2674850000000.0
1.75,2674850000000.0
1.8333333333333333,2674850000000.0
1.9166666666666665,2674850000000.0
2.0,2674850000000.0
2.083333333333333,2674850000000.0
2.1666666666666665,2674850000000.0
2.25,2674850000000.0
2.333333333333333,2674850000000.0
2.4166666666666665,2674850000000.0
2.5,2674850000000.0
2.583333333333333,2674850000000.0
2.6666666666666665,2674850000000.0
2.75,2674850000000.0
2.833333333333333,2674850000000.0
2.9166666666666665,2674850000000.0
3.0,2674850000000.0
3.083333333333333,2674850000000.0
3.1666666666666665,2674850000000.0
3.25,2674850000000.0
3.333333333333333,2674850000000.0
3.4166666666666665,2674850000000.0
3.5,2674850000000.0
3.583333333333333,2674850000000.0
3.6666666666666665,2674850000000.0
3.75,2674850000000.0
3.833333333333333,2674850000000.0
3.9166666666666665,2674850000000.0
4.0,2674850000000.0
4.083333333333333,2674850000000.0
4.166666666666666,2674850000000.0
4.25,2674850000000.0
4.333333333333333,2674850000000.0
4.416666666666666,2674850000000.0
4.5,2674850000000.0
4.583333333333333,2674850000000.0
4.666666666666666,2674850000000.0
4.75,2674850000000.0
4.833333333333333,2674850000000.0
4.916666666666666,2674850000000.0
5.0,2674850000000.0
5.083333333333333,2674850000000.0
5.166666666666666,2674850000000.0
5.25,2674850000000.0
5.333333333333333,2674850000000.0
5.416666666666666,2674850000000.0
5.5,2674850000000.0
5.583333333333333,2674850000000.0
5.666666666666666,2674850000000.0
5.75,2674850000000.0
5.833333333333333,2674850000000.0
5.916666666666666,2674850000000.0
6.0,2674850000000.0
6.083333333333333,2674850000000.0
6.166666666666666,2674850000000.0
6.25,2674850000000.0
6.333333333333333,2674850000000.0
6.416666666666666,2674850000000.0
6.5,2674850000000.0
6.583333333333333,2674850000000.0
6.666666666666666,2674850000000.0
6.75,2674850000000.0
6.833333333333333,2674850000000.0
6.916666666666666,2674850000000.0
7.0,2674850000000.0
7.083333333333333,2674850000000.0
7.166666666666666,2674850000000.0
7.25,2674850000000.0
7.333333333333333,2674850000000.0
7.416666666666666,2674850000000.0
7.5,2674850000000.0
7.583333333333333,2674850000000.0
7.666666666666666,2674850000000.0
7.75,2674850000000.0
7.833333333333333,2674850000000.0
7.916666666666666,2674850000000.0
8.0,2674850000000.0
8.083333333333332,2674850000000.0
8.166666666666666,2674850000000.0
8.25,2674850000000.0
8.333333333333332,2674850000000.0
8.416666666666666,2674850000000.0
8.5,2674850000000.0
8.583333333333332,2674850000000.0
8.666666666666666,2674850000000.0
8.75,2674850000000.0
8.833333333333332,2674850000000.0
8.916666666666666,2674850000000.0
9.0,2674850000000.0
9.083333333333332,2674850000000.0
9.166666666666666,2674850000000.0
9.25,2674850000000.0
9.333333333333332,2674850000000.0
9.416666666666666,2674850000000.0
9.5,2674850000000.0
9.583333333333332,2674850000000.0
9.666666666666666,2674850000000.0
9.75,2674850000000.0
9.833333333333332,2674850000000.0
9.916666666666666,2674850000000.0
10.0,2674850000000.0
10.083333333333332,2674850000000.0
10.166666666666666,2674850000000.0
10.25,2674850000000.0
10.333333333333332,2674850000000.0
10.416666666666666,2674850000000.0
10.5,2674850000000.0
10.583333333333332,2674850000000.0
10.666666666666666,2674850000000.0
10.75,2674850000000.0
10.833333333333332,2674850000000.0
10.916666666666666,2674850000000.0
11.0,2674850000000.0
11.083333333333332,2674850000000.0
11.166666666666666,2674850000000.0
11.25,2674850000000.0
11.333333333333332,2674850000000.0
11.416666666666666,2674850000000.0
11.5,2674850000000.0
11.583333333333332,2674850000000.0
11.666666666666666,2674850000000.0
11.75,2674850000000.0
11.833333333333332,2674850000000.0
11.916666666666666,2674850000000.0
12.0,2674850000000.0
12.083333333333332,2674850000000.0
12.166666666666666,2674850000000.0
12.25,2674850000000.0
12.333333333333332,2674850000000.0
12.416666666666666,2674850000000.0
12.5,2674850000000.0
12.583333333333332,2674850000000.0
12.666666666666666,2674850000000.0
12.75,2674850000000.0
12.833333333333332,2674850000000.0
12.916666666666666,2674850000000.0
13.0,2674850000000.0
13.083333333333332,2674850000000.0
13.166666666666666,2674850000000.0
13.25,2674850000000.0
13.333333333333332,2674850000000.0
13.416666666666666,2674850000000.0
13.5,2674850000000.0
13.583333333333332,2674850000000.0
13.666666666666666,2674850000000.0
13.75,2674850000000.0
13.833333333333332,2674850000000.0
13.916666666666666,2674850000000.0
14.0,2674850000000.0
14.083333333333332,2674850000000.0
14.166666666666666,2674850000000.0
14.25,2674850000000.0
14.333333333333332,2674850000000.0
14.416666666666666,2674850000000.0
14.5,2674850000000.0
14.583333333333332,2674850000000.0
14.666666666666666,2674850000000.0
14.75,2674850000000.0
14.833333333333332,2674850000000.0
14.916666666666666,2674850000000.0
15.0,2674850000000.0
15.083333333333332,2674850000000.0
15.166666666666666,2674850000000.0
15.25,2674850000000.0
15.333333333333332,2674850000000.0
15.416666666666666,2674850000000.0
15.5,2674850000000.0
