M.D_b.Fdiss Time [a],M.D_b.Fdiss Fdiss [mol/kg]
24300.0,47976491377415.22
24400.0,47976846296874.6
24500.0,47977195677367.13
24600.0,47977539673400.1
24700.0,47977878410149.7
24800.0,47978211994181.766
24900.0,47978542969055.07
25000.0,47978868961872.86
25100.0,47979189989031.16
25200.0,47979506130516.57
25300.0,47980333493113.51
25400.0,47980632827077.336
25500.0,47980624947302.47
25600.0,48002447537581.664
25700.0,48002444323005.65
25800.0,48002691077324.6
25900.0,47980125865895.88
26000.0,47980384036209.56
26100.0,47980693156785.195
26200.0,47980992653034.15
26300.0,47981284381287.63
26400.0,47981569716895.9
26500.0,47981849520929.76
26600.0,47982124346277.32
26700.0,47982394557710.69
26800.0,47982660403954.64
26900.0,47982922061724.35
27000.0,47983179662848.73
27100.0,47983433311031.86
27200.0,47983683092229.15
27300.0,47983929081075.8
27400.0,47984171344873.23
27500.0,47984411720449.76
27600.0,47984648487461.24
27700.0,47984881654355.09
27800.0,47985111276727.4
27900.0,47985337409494.97
28000.0,47985560106348.03
28100.0,47985779419868.63
28200.0,47985995401659.03
28300.0,47986208102438.24
28400.0,47986417572104.76
28500.0,47987335011132.3
28600.0,47987660847180.95
28700.0,47965595404985.1
28800.0,47966129138950.055
28900.0,47966648926419.04
29000.0,47988435301702.984
29100.0,47988591844790.984
29200.0,47988752667256.53
29300.0,47988915324924.78
29400.0,47989078142829.48
29500.0,47989240117873.92
29600.0,47989400647836.93
29700.0,47989559374897.81
29800.0,47989716091444.234
29900.0,47989870682443.43
30000.0,47990023089936.7
30100.0,47990173291099.445
30200.0,47990321284667.945
30300.0,47990467082537.75
30400.0,47990610704563.98
30500.0,47990752175343.69
30600.0,47990891522225.36
30700.0,47991028773847.49
30800.0,47991163960308.6
30900.0,47991297111352.195
31000.0,47991428256861.44
31100.0,47991557426606.555
31200.0,47991684650084.99
31300.0,47991809956458.64
31400.0,47991933374516.734
31500.0,47992054932656.414
31600.0,47992487529769.31
31700.0,47970102291202.53
31800.0,47970516482407.03
31900.0,47971489732642.84
32000.0,47971928936936.56
32100.0,47972357602298.83
32200.0,47972777408752.695
32300.0,47973189410675.766
32400.0,47973594292392.15
32500.0,47973992511240.55
32600.0,47974384384174.3
32700.0,47974770139614.94
32800.0,47975149954921.83
32900.0,47975225019665.19
33000.0,47997127559524.734
33100.0,47997204698018.17
33200.0,47997230434015.0
33300.0,47997261877099.79
33400.0,47997296787766.5
33500.0,47997333593350.56
33600.0,47997371338599.63
33700.0,47997409439311.33
33800.0,47997447538066.016
33900.0,47997485417084.01
34000.0,47997522944827.945
34100.0,47997560043078.1
34200.0,47997596666579.32
34300.0,47997632790444.22
34400.0,47997668402353.88
34500.0,47997703497727.92
34600.0,47997738076733.7
34700.0,47997772142422.62
34800.0,47997805699637.3
34900.0,47997838754213.46
35000.0,47997871312598.95
35100.0,47997903381575.67
35200.0,47997934968087.54
35300.0,47997966079137.5
35400.0,47997996721724.27
35500.0,47998339620771.695
35600.0,47975873616990.33
35700.0,47976201006418.42
35800.0,47976575830827.83
35900.0,47976938659467.39
36000.0,47977291916923.01
36100.0,47977637334663.86
36200.0,47978488758142.66
36300.0,47978813396653.43
36400.0,47979132747220.83
36500.0,47979447046448.55
36600.0,47979756463391.77
36700.0,47980061128904.64
36800.0,47980361151913.84
36900.0,47980656624307.664
37000.0,47980947628346.56
37100.0,47981236368141.83
37200.0,47981520780255.75
37300.0,47981800875293.89
37400.0,47982076720499.53
37500.0,47982348381824.234
37600.0,47982615923660.83
37700.0,47982879409005.91
37800.0,47983138899645.56
37900.0,47983394456289.94
38000.0,47983646138659.03
38100.0,47983707621505.51
38200.0,47983827692589.36
38300.0,47983779246668.36
38400.0,48005558285739.125
38500.0,48005512052393.01
38600.0,48005714201768.84
38700.0,48005666502837.54
38800.0,48005567580846.695
38900.0,48005475169594.805
39000.0,48005686721551.17
39100.0,48005645068153.69
39200.0,48005549934346.67
39300.0,48005459928925.016
39400.0,48005673034340.89
39500.0,48005632406499.305
39600.0,48005537971168.15
39700.0,48005448460427.484
39800.0,48005661933326.86
39900.0,48005621593096.89
40000.0,48005527395474.21
40100.0,48005438090356.59
40200.0,48005651748085.5
40300.0,48005611575601.945
40400.0,48005517542559.484
40500.0,48005727688227.945
40600.0,48005684952035.1
40700.0,48005588938439.48
40800.0,48005498173384.98
40900.0,48005710599339.836
41000.0,48005669334986.125
41100.0,48005574304346.45
41200.0,48005484221582.5
41300.0,48005697143376.18
41400.0,48005656258310.42
41500.0,48005561534315.7
41600.0,48005471711801.234
41700.0,48005684863964.58
41800.0,47983419692579.984
41900.0,47983681836564.39
42000.0,47983935072431.61
42100.0,47984181441769.48
42200.0,47984422219989.125
42300.0,47985170605426.7
42400.0,47985394286646.89
42500.0,47985614349895.336
42600.0,47985830949559.59
42700.0,47986044195481.67
42800.0,47986254174361.47
42900.0,47986460957923.586
43000.0,47986664608258.05
43100.0,47986865181197.58
43200.0,47987062728431.08
43300.0,47987258741396.89
43400.0,47987451821152.87
43500.0,47987641973445.516
43600.0,47987827859124.5
43700.0,47988010912705.625
43800.0,47988192547773.87
43900.0,47988371469022.41
44000.0,47988547680066.234
44100.0,47988721220973.58
44200.0,47988892131892.914
44300.0,47989060452591.84
44400.0,47989226211529.484
44500.0,47989389453803.83
44600.0,47989550222732.78
44700.0,47989708556506.22
44800.0,47989864497144.45
44900.0,47990018078988.03
45000.0,47990169334799.7
45100.0,47990318298826.31
45200.0,47990465005469.19
45300.0,47990609488834.36
45400.0,47990751773338.04
45500.0,47990891897679.47
45600.0,47991029899031.31
45700.0,47991165810167.31
45800.0,47991299667159.17
45900.0,47991431499480.94
46000.0,47991561335249.86
46100.0,47991689203859.42
46200.0,47991815134836.31
46300.0,47991939157453.125
46400.0,47992061292664.53
46500.0,47992181573687.14
46600.0,47992300032427.35
46700.0,47992268759955.55
46800.0,47992282205069.19
46900.0,47992196152138.14
47000.0,47992184262935.33
47100.0,47992307680113.7
47200.0,47992124807779.94
47300.0,47992200037317.8
47400.0,47992321571989.32
47500.0,47992137153946.266
47600.0,47992211724937.75
47700.0,47992034003476.03
47800.0,47992112534412.72
47900.0,47992243756924.86
48000.0,47992062373586.38
48100.0,47992138326756.89
48200.0,47992267846655.78
48300.0,47992085291236.74
48400.0,47992160398996.42
48500.0,47992289277623.34
48600.0,47992106207985.6
48700.0,47992180881931.67
48800.0,47992309379156.484
48900.0,47992125961406.14
49000.0,47992200309550.45
49100.0,47992321306154.45
49200.0,47992136562534.53
49300.0,47992210938786.14
49400.0,47992033102861.42
49500.0,47992111569355.445
49600.0,47992242757918.28
49700.0,47992061359541.03
49800.0,47992137309556.55
49900.0,47992266833184.72
50000.0,47992084285798.81
50100.0,47992159404432.19
50200.0,47992288295219.86
50300.0,47992105238581.66
50400.0,47992179926224.96
50500.0,47992308437112.09
50600.0,47992125033045.836
50700.0,47992199395069.56
50800.0,47992320405220.125
50900.0,47992135675054.5
51000.0,47992210064616.67
51100.0,47992032241807.51
51200.0,47992110724138.78
51300.0,47992241934115.45
51400.0,47992060546405.46
51500.0,47992136502672.84
51600.0,47992266045738.19
51700.0,47992083508623.016
51800.0,47992158633065.9
51900.0,47992287542818.16
52000.0,47992104495961.06
52100.0,47992179188916.7
52200.0,47992307718271.05
52300.0,47992124323489.89
52400.0,47992198691394.3
52500.0,47992319718559.12
52600.0,47992006882193.69
52700.0,47992131952147.83
52800.0,47992253280789.17
52900.0,47992371630221.42
53000.0,47992487486912.8
53100.0,47992601160281.0
53200.0,47992712851176.33
53300.0,47992822693383.53
53400.0,47992930779086.09
53500.0,47993037174577.734
53600.0,47993141929981.09
53700.0,47993245085265.33
53800.0,47993346673976.234
53900.0,47993446725547.67
54000.0,47993545266735.94
54100.0,47993642322510.766
54200.0,47993737916608.5
54300.0,47993832071876.83
54400.0,47993924810373.69
54500.0,47994016153948.7
54600.0,47994106123714.08
54700.0,47994194740435.95
54800.0,47994282024541.78
54900.0,47994367996121.766
55000.0,47994452674944.92
55100.0,47994536080471.72
55200.0,47994618231862.44
55300.0,47994699147984.56
55400.0,47994778847419.44
55500.0,47994857348466.89
55600.0,47994934669150.33
55700.0,47995010827221.78
55800.0,47995085840165.41
55900.0,47995159725202.266
56000.0,47995232499294.234
56100.0,47995304179148.2
56200.0,47995374781219.31
56300.0,47995444321715.06
56400.0,47995512816547.766
56500.0,47995580281536.5
56600.0,47995646732134.875
56700.0,47995712183587.016
56800.0,47995776650917.72
56900.0,47995840148926.2
57000.0,47995902692188.56
57100.0,47995964295061.83
57200.0,47996024971687.266
57300.0,47996084735993.34
57400.0,47996143601698.67
57500.0,47996201582316.08
57600.0,47996258691154.89
57700.0,47996314941324.016
57800.0,47996370345735.69
57900.0,47996424917107.41
58000.0,47996478667965.83
58100.0,47996531610649.08
58200.0,47996583757309.69
58300.0,47996635119917.45
58400.0,47996685710233.67
58500.0,47996735539923.08
58600.0,47996784620404.766
58700.0,47996832962938.97
58800.0,47996880578622.375
58900.0,47996927478384.3
59000.0,47996973672989.84
59100.0,47997019173042.3
59200.0,47997063988985.17
59300.0,47997108131105.266
59400.0,47997151609534.55
59500.0,47997194434252.59
59600.0,47997236615089.05
59700.0,47997278161725.36
59800.0,47997319083697.734
59900.0,47997359390398.78
60000.0,47997399091079.92
60100.0,47997438194853.55
60200.0,47997476710694.72
60300.0,47997514647443.875
60400.0,47997552013792.86
60500.0,47997588818346.516
60600.0,47997625069542.3
60700.0,47997660775697.61
60800.0,47997695945007.44
60900.0,47997730585543.94
61000.0,47997764705257.97
61100.0,47997798311980.375
61200.0,47997831413424.61
61300.0,47997864017188.0
61400.0,47997896130753.61
61500.0,47997927761491.984
61600.0,47997958916662.83
61700.0,47997989603416.69
61800.0,47998019828796.7
61900.0,47998049599739.97
62000.0,47998078923079.09
62100.0,47998107805544.28
62200.0,47998136253764.25
62300.0,47998164274268.33
62400.0,47998191873479.05
62500.0,47998219057746.17
62600.0,47998245833303.31
62700.0,47998272206293.81
62800.0,47998298182770.58
