Time [yrs],TA [mmol/kg],Delta Isotope [permil]
0,2.3452022,2.2881413
1834.6095,2.3452022,2.2881413
1981.6233,2.3442774,2.2864277
2144.7168,2.34474,2.288841
2264.1653,2.350289,2.290793
2427.2588,2.3604624,2.2964485
2615.62,2.3784971,2.3085802
2824.6555,2.3997688,2.323008
3022.2053,2.417341,2.3365238
3242.7258,2.4353757,2.3504946
3454.058,2.449711,2.3616865
3791.7305,2.4695954,2.3747494
