M.D_b.TA Time [a],M.D_b.TA TA [mol/kg]
0.0,0.002399659717093
10000.0,0.002399659717093045
20000.0,0.0023996597170930544
30000.0,0.002399659717093058
40000.0,0.002399659717093058
50000.0,0.002399659717093058
60000.0,0.002399659717093058
70000.0,0.002399659717093058
80000.0,0.002399659717093058
90000.0,0.002399659717093058
100000.0,0.002399659717093058
110000.0,0.002399659717093058
120000.0,0.002399659717093058
130000.0,0.002399659717093058
140000.0,0.002399659717093058
150000.0,0.002399659717093058
160000.0,0.002399659717093058
170000.0,0.002399659717093058
180000.0,0.002399659717093058
190000.0,0.002399659717093058
200000.0,0.002399659717093058
210000.0,0.002399659717093058
220000.0,0.002399659717093058
230000.0,0.002399659717093058
240000.0,0.002399659717093058
250000.0,0.002399659717093058
260000.0,0.002399659717093058
270000.0,0.002399659717093058
280000.0,0.002399659717093058
290000.0,0.002399659717093058
300000.0,0.002399659717093058
310000.0,0.002399659717093058
320000.0,0.002399659717093058
330000.0,0.002399659717093058
340000.0,0.002399659717093058
350000.0,0.002399659717093058
360000.0,0.002399659717093058
370000.0,0.002399659717093058
380000.0,0.002399659717093058
390000.0,0.002399659717093058
400000.0,0.002399659717093058
410000.0,0.002399659717093058
420000.0,0.002399659717093058
430000.0,0.002399659717093058
440000.0,0.002399659717093058
450000.0,0.002399659717093058
460000.0,0.002399659717093058
470000.0,0.002399659717093058
480000.0,0.002399659717093058
490000.0,0.002399659717093058
500000.0,0.002399659717093058
510000.0,0.002399659717093058
520000.0,0.002399659717093058
530000.0,0.002399659717093058
540000.0,0.002399659717093058
550000.0,0.002399659717093058
560000.0,0.002399659717093058
570000.0,0.002399659717093058
580000.0,0.002399659717093058
590000.0,0.002399659717093058
600000.0,0.002399659717093058
610000.0,0.002399659717093058
620000.0,0.002399659717093058
630000.0,0.002399659717093058
640000.0,0.002399659717093058
650000.0,0.002399659717093058
660000.0,0.002399659717093058
670000.0,0.002399659717093058
680000.0,0.002399659717093058
690000.0,0.002399659717093058
700000.0,0.002399659717093058
710000.0,0.002399659717093058
720000.0,0.002399659717093058
730000.0,0.002399659717093058
740000.0,0.002399659717093058
750000.0,0.002399659717093058
760000.0,0.002399659717093058
770000.0,0.002399659717093058
780000.0,0.002399659717093058
790000.0,0.002399659717093058
800000.0,0.002399659717093058
810000.0,0.002399659717093058
820000.0,0.002399659717093058
830000.0,0.002399659717093058
840000.0,0.002399659717093058
850000.0,0.002399659717093058
860000.0,0.002399659717093058
870000.0,0.002399659717093058
880000.0,0.002399659717093058
890000.0,0.002399659717093058
900000.0,0.002399659717093058
910000.0,0.002399659717093058
920000.0,0.002399659717093058
930000.0,0.002399659717093058
940000.0,0.002399659717093058
950000.0,0.002399659717093058
960000.0,0.002399659717093058
970000.0,0.002399659717093058
980000.0,0.002399659717093058
990000.0,0.002399659717093058
